trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size
1,long,2024-09-03 07:33:00,2024-09-03 08:12:00,73.94,73.33,74.465,73.33,stop_loss,-0.61,resistance,2
2,long,2024-09-05 14:00:00,2024-09-05 16:11:00,70.27,69.005,71.52,69.005,stop_loss,-1.265,resistance,2
3,short,2024-09-12 18:28:00,2024-09-13 14:23:00,69.005,70.27,65.77,70.27,stop_loss,-1.265,support,2
4,long,2024-09-17 07:10:00,2024-09-17 08:00:00,70.565,70.015,71.52,70.015,stop_loss,-0.55,resistance,2
5,long,2024-09-17 12:44:00,2024-09-17 16:14:00,70.015,71.52,71.52,69.655,take_profit,1.505,resistance,2
6,long,2024-09-18 12:48:00,2024-09-18 14:34:00,69.655,70.015,70.015,69.1567,take_profit,0.36,resistance,2
7,long,2024-09-18 15:10:00,2024-09-18 15:46:00,70.015,69.1567,70.6267,69.1567,stop_loss,-0.8583,resistance,2
8,long,2024-09-18 15:47:00,2024-09-19 07:33:00,69.1567,70.6267,70.6267,65.77,take_profit,1.47,resistance,3
9,long,2024-09-19 08:37:00,2024-09-19 16:26:00,70.6267,71.52,71.52,70.0967,take_profit,0.8933,resistance,3
10,long,2024-09-25 14:07:00,2024-09-25 15:56:00,70.6267,70.0967,71.75,70.0967,stop_loss,-0.53,resistance,3
