trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size
1,short,2024-10-01 07:13:00,2024-10-01 08:06:00,67.69,67.17,67.17,68.5967,take_profit,0.52,support,2
2,short,2024-10-01 08:13:00,2024-10-01 13:34:00,67.17,68.5967,65.77,68.5967,stop_loss,-1.4267,support,2
3,long,2024-10-01 13:50:00,2024-10-01 13:54:00,69.9625,70.345,70.345,69.1267,take_profit,0.3825,resistance,4
4,long,2024-10-03 09:40:00,2024-10-03 11:28:00,71.75,70.8333,72.425,70.8333,stop_loss,-0.9167,resistance,3
5,long,2024-10-15 11:40:00,2024-10-15 13:32:00,70.8333,70.135,71.325,70.135,stop_loss,-0.6983,resistance,3
6,long,2024-10-22 09:13:00,2024-10-22 10:50:00,70.18,70.8675,70.8675,69.095,take_profit,0.6875,resistance,2
7,long,2024-10-22 10:52:00,2024-10-22 13:55:00,70.8675,71.59,71.59,69.095,take_profit,0.7225,resistance,4
8,short,2024-10-22 19:41:00,2024-10-27 22:00:00,71.59,69.095,69.095,72.425,take_profit,2.495,support,2
9,long,2024-10-30 12:28:00,2024-10-30 15:28:00,68.705,69.095,69.095,67.5233,take_profit,0.39,resistance,2
10,long,2024-10-30 15:29:00,2024-10-31 18:33:00,69.095,69.7683,69.7683,67.5233,take_profit,0.6733,resistance,2
