trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size
1,long,2024-11-05 07:41:00,2024-11-06 05:44:00,71.55,70.9,74.095,70.9,stop_loss,-0.65,resistance,6
2,long,2024-11-06 08:06:00,2024-11-06 09:15:00,70.9,70.604,71.4067,70.604,stop_loss,-0.296,resistance,2
3,long,2024-11-06 15:07:00,2024-11-08 15:07:00,71.55,70.604,74.095,70.604,stop_loss,-0.946,resistance,6
4,short,2024-11-12 15:43:00,2024-11-13 09:40:00,68.2033,68.845,67.5,68.845,stop_loss,-0.6417,support,3
5,short,2024-11-13 12:18:00,2024-11-13 14:06:00,68.2033,67.5,67.5,68.845,take_profit,0.7033,support,3
6,short,2024-11-13 14:07:00,2024-11-13 15:00:00,67.5,67.055,67.055,68.845,take_profit,0.445,support,2
7,short,2024-11-14 15:53:00,2024-11-15 17:07:00,68.845,67.5,67.5,69.7467,take_profit,1.345,support,2
8,long,2024-11-19 13:23:00,2024-11-19 15:14:00,69.0867,69.7133,69.7133,68.52,take_profit,0.6266,resistance,3
9,short,2024-11-20 15:56:00,2024-11-20 17:31:00,69.7133,69.0867,69.0867,70.316,take_profit,0.6266,support,3
10,short,2024-11-21 17:01:00,2024-11-22 01:02:00,69.695,70.316,69.0767,70.316,stop_loss,-0.621,support,2
11,long,2024-11-26 10:14:00,2024-11-26 14:43:00,69.585,69.94,69.94,69.0875,take_profit,0.355,resistance,2
12,short,2024-11-28 08:03:00,2024-11-28 09:56:00,68.4533,68.95,68.0778,68.95,stop_loss,-0.4967,support,3
13,short,2024-11-28 14:29:00,2024-11-29 19:28:00,68.95,68.0778,68.0778,69.8733,take_profit,0.8722,support,3
