trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size
1,long,2025-05-06 08:23:00,2025-05-06 09:05:00,58.165,58.72,58.72,56.575,take_profit,0.555,resistance,2
2,short,2025-05-06 12:17:00,2025-05-06 13:22:00,58.72,59.4233,56.575,59.4233,stop_loss,-0.7033,support,3
3,short,2025-05-06 18:01:00,2025-05-07 07:37:00,59.4233,60.125,56.575,60.125,stop_loss,-0.7017,support,3
4,short,2025-05-07 10:41:00,2025-05-07 13:35:00,59.36,58.72,58.72,60.125,take_profit,0.64,support,2
5,short,2025-05-07 14:31:00,2025-05-07 17:53:00,58.72,58.165,58.165,60.125,take_profit,0.555,support,3
6,short,2025-05-15 07:09:00,2025-05-15 13:00:00,61.055,61.925,60.275,61.925,stop_loss,-0.87,support,2
7,short,2025-05-20 08:05:00,2025-05-20 15:33:00,62.0033,61.5833,61.5833,62.7467,take_profit,0.42,support,3
8,long,2025-05-21 09:00:00,2025-05-21 14:11:00,62.7925,62.1875,63.432,62.1875,stop_loss,-0.605,resistance,4
9,short,2025-05-21 16:08:00,2025-05-22 06:39:00,61.5833,60.9,60.9,62.1875,take_profit,0.6833,support,3
10,short,2025-05-22 07:51:00,2025-05-23 11:49:00,60.9,60.275,60.275,61.5833,take_profit,0.625,support,2
11,short,2025-05-27 11:48:00,2025-05-27 14:52:00,61.22,60.665,60.665,61.8375,take_profit,0.555,support,3
12,short,2025-05-28 18:27:00,2025-05-28 23:30:00,61.8375,62.505,60.665,62.505,stop_loss,-0.6675,support,4
13,long,2025-05-29 07:06:00,2025-05-29 10:35:00,63.0,62.26,63.49,62.26,stop_loss,-0.74,resistance,2
