trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size
1,short,2025-01-07 07:13:00,2025-01-07 16:20:00,73.4,74.43,72.9567,74.43,stop_loss,-1.03,support,2
2,short,2025-01-09 08:27:00,2025-01-09 16:27:00,73.4,74.2767,72.995,74.2767,stop_loss,-0.8767,support,2
3,long,2025-01-22 09:10:00,2025-01-23 16:23:00,76.205,74.72,77.285,74.72,stop_loss,-1.485,resistance,2
4,short,2025-01-23 17:42:00,2025-01-23 18:27:00,75.2667,74.72,74.72,76.205,take_profit,0.5467,support,3
5,short,2025-01-28 16:44:00,2025-01-28 18:54:00,73.0683,73.7833,72.56,73.7833,stop_loss,-0.715,support,6
6,short,2025-01-28 18:55:00,2025-01-29 18:01:00,73.7833,72.56,72.56,74.2767,take_profit,1.2233,support,3
7,short,2025-01-29 18:07:00,2025-01-29 21:38:00,72.56,73.0683,70.93,73.0683,stop_loss,-0.5083,support,2
