trade_id,side,level_type,level_row,level_detected_at,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,holding_minutes
1,short,support,61,2025-03-04 06:00:00,2025-03-04 10:49:00,2025-03-04 11:07:00,67.76,67.96,67.6,67.96,stop_loss,-0.2,18
2,short,support,53,2025-03-04 02:00:00,2025-03-04 11:07:00,2025-03-04 11:20:00,67.96,67.8,67.8,68.16,take_profit,0.16,13
3,short,support,75,2025-03-04 13:00:00,2025-03-06 15:05:00,2025-03-06 15:07:00,67.09,66.93,66.93,67.29,take_profit,0.16,2
4,long,resistance,149,2025-03-06 03:00:00,2025-03-07 18:34:00,2025-03-11 00:04:00,66.86,65.59,68.084,65.59,stop_loss,-1.27,4650
5,short,support,269,2025-03-10 15:00:00,2025-03-11 08:51:00,2025-03-11 09:44:00,66.37,66.57,66.058,66.57,stop_loss,-0.2,53
6,short,support,239,2025-03-10 00:00:00,2025-03-11 10:13:00,2025-03-11 10:23:00,66.5,66.7,66.396,66.7,stop_loss,-0.2,10
7,long,resistance,196,2025-03-07 03:00:00,2025-03-11 14:36:00,2025-03-11 15:09:00,66.57,66.831,66.831,66.37,take_profit,0.261,33
8,long,resistance,265,2025-03-10 13:00:00,2025-03-13 09:16:00,2025-03-13 09:30:00,67.6,67.4,67.744,67.4,stop_loss,-0.2,14
9,short,support,393,2025-03-13 06:30:00,2025-03-14 07:03:00,2025-03-14 07:23:00,67.4,67.284,67.284,67.6,take_profit,0.116,20
10,long,resistance,434,2025-03-14 03:30:00,2025-03-14 10:45:00,2025-03-14 13:02:00,67.14,66.94,67.383,66.94,stop_loss,-0.2,137
11,short,support,401,2025-03-13 10:30:00,2025-03-14 15:05:00,2025-03-14 15:10:00,67.11,67.01,67.01,67.31,take_profit,0.1,5
12,long,resistance,362,2025-03-12 14:30:00,2025-03-17 13:26:00,2025-03-17 13:34:00,67.76,67.922,67.922,67.52,take_profit,0.162,8
13,long,resistance,442,2025-03-14 07:30:00,2025-03-17 16:53:00,2025-03-17 17:17:00,67.41,67.581,67.581,67.21,take_profit,0.171,24
14,short,support,482,2025-03-17 04:00:00,2025-03-17 18:00:00,2025-03-17 18:01:00,67.52,67.72,67.42,67.72,stop_loss,-0.2,1
15,long,resistance,397,2025-03-13 08:30:00,2025-03-18 13:10:00,2025-03-18 13:57:00,67.94,67.74,68.192,67.74,stop_loss,-0.2,47
16,long,resistance,527,2025-03-18 03:00:00,2025-03-18 14:52:00,2025-03-18 15:07:00,67.64,67.44,67.748,67.44,stop_loss,-0.2,15
17,short,support,556,2025-03-18 17:30:00,2025-03-19 07:18:00,2025-03-19 08:02:00,66.57,66.47,66.47,66.77,take_profit,0.1,44
18,short,support,571,2025-03-19 01:30:00,2025-03-19 10:06:00,2025-03-19 10:43:00,66.43,66.63,66.33,66.63,stop_loss,-0.2,37
19,long,resistance,221,2025-03-07 15:30:00,2025-03-21 07:02:00,2025-03-21 08:07:00,68.22,68.32,68.32,68.02,take_profit,0.1,65
20,short,support,667,2025-03-21 02:30:00,2025-03-21 14:56:00,2025-03-21 15:41:00,68.31,68.03,68.03,68.51,take_profit,0.28,45
21,long,resistance,477,2025-03-17 01:30:00,2025-03-24 13:09:00,2025-03-24 13:22:00,68.37,68.47,68.47,68.17,take_profit,0.1,13
22,long,resistance,542,2025-03-18 10:30:00,2025-03-24 13:31:00,2025-03-24 13:42:00,68.5,68.6,68.6,68.3,take_profit,0.1,11
23,short,support,34,2025-03-03 16:00:00,2025-03-24 14:50:00,2025-03-24 16:04:00,69.15,69.35,68.83,69.35,stop_loss,-0.2,74
24,long,resistance,732,2025-03-24 11:30:00,2025-03-24 17:45:00,2025-03-24 18:28:00,68.92,69.1,69.1,68.56,take_profit,0.18,43
25,short,support,21,2025-03-03 09:30:00,2025-03-24 19:06:00,2025-03-25 00:07:00,69.26,69.16,69.16,69.46,take_profit,0.1,301
26,long,resistance,749,2025-03-24 20:00:00,2025-03-25 14:47:00,2025-03-25 14:58:00,69.27,69.07,69.45,69.07,stop_loss,-0.2,11
27,short,support,839,2025-03-26 18:00:00,2025-03-28 18:15:00,2025-03-28 19:31:00,69.45,69.234,69.234,69.882,take_profit,0.216,76
28,short,support,865,2025-03-27 07:30:00,2025-03-31 07:30:00,2025-03-31 07:47:00,69.38,69.624,69.258,69.624,stop_loss,-0.244,17
29,short,support,909,2025-03-28 06:00:00,2025-03-31 07:47:00,2025-03-31 07:59:00,69.64,69.84,69.54,69.84,stop_loss,-0.2,12
