trade_id,side,level_id,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl
1,long,9,2025-03-11 09:22:00,2025-03-11 10:18:00,66.5,66.57,66.57,66.37,take_profit,0.07
2,short,7,2025-03-11 10:18:00,2025-03-11 10:37:00,66.57,66.86,66.37,66.86,stop_loss,-0.29
3,long,11,2025-03-12 07:25:00,2025-03-12 10:05:00,66.37,66.86,66.86,66.0,take_profit,0.49
4,long,2,2025-03-13 08:19:00,2025-03-13 08:37:00,67.96,67.76,68.22,67.76,stop_loss,-0.2
5,long,16,2025-03-14 07:03:00,2025-03-14 10:42:00,67.4,67.11,67.6,67.11,stop_loss,-0.29
6,long,18,2025-03-14 11:35:00,2025-03-14 11:36:00,67.11,67.09,67.6,67.09,stop_loss,-0.02
7,short,17,2025-03-17 09:32:00,2025-03-17 11:47:00,67.94,68.22,67.76,68.22,stop_loss,-0.28
8,short,20,2025-03-17 14:51:00,2025-03-17 15:30:00,67.41,67.6,67.09,67.6,stop_loss,-0.19
9,long,3,2025-03-18 07:00:00,2025-03-18 08:49:00,67.76,68.22,68.22,67.52,take_profit,0.46
10,short,15,2025-03-18 13:57:00,2025-03-18 15:07:00,67.76,67.52,67.52,68.22,take_profit,0.24
11,long,22,2025-03-18 15:07:00,2025-03-18 15:49:00,67.52,67.09,67.6,67.09,stop_loss,-0.43
12,short,19,2025-03-18 15:51:00,2025-03-18 16:03:00,67.14,67.09,67.09,67.6,take_profit,0.05
13,long,25,2025-03-19 07:14:00,2025-03-19 08:38:00,66.57,66.15,66.86,66.15,stop_loss,-0.42
14,short,21,2025-03-24 07:01:00,2025-03-24 07:02:00,68.37,68.41,68.31,68.41,stop_loss,-0.04
15,short,32,2025-03-24 07:33:00,2025-03-24 07:45:00,68.41,68.5,68.31,68.5,stop_loss,-0.09
16,long,0,2025-03-25 07:07:00,2025-03-25 07:10:00,69.26,69.27,69.27,69.15,take_profit,0.01
17,short,34,2025-03-25 16:10:00,2025-03-25 16:55:00,68.55,68.92,68.31,68.92,stop_loss,-0.37
18,long,1,2025-03-28 16:04:00,2025-03-28 16:05:00,69.15,69.12,69.27,69.12,stop_loss,-0.03
