trade_id,side,level_id,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl
1,long,2,2025-05-07 13:35:00,2025-05-07 13:37:00,58.73,58.85,58.85,58.67,take_profit,0.12
2,long,4,2025-05-08 08:06:00,2025-05-08 09:01:00,58.67,58.85,58.85,58.23,take_profit,0.18
3,short,1,2025-05-08 13:54:00,2025-05-08 14:07:00,59.5,59.71,59.29,59.71,stop_loss,-0.21
4,short,8,2025-05-08 14:07:00,2025-05-08 14:16:00,59.71,59.87,59.29,59.87,stop_loss,-0.16
5,long,17,2025-05-15 13:57:00,2025-05-15 13:58:00,62.08,61.86,62.15,61.86,stop_loss,-0.22
6,short,18,2025-05-19 15:39:00,2025-05-19 15:40:00,62.15,62.18,61.86,62.18,stop_loss,-0.03
7,long,22,2025-05-20 07:27:00,2025-05-20 07:31:00,61.86,61.72,62.18,61.72,stop_loss,-0.14
8,long,25,2025-05-20 07:41:00,2025-05-20 08:07:00,61.72,62.18,62.18,61.34,take_profit,0.46
9,long,15,2025-05-23 09:01:00,2025-05-23 11:04:00,61.02,61.4,61.4,60.78,take_profit,0.38
10,short,30,2025-05-23 11:04:00,2025-05-23 11:09:00,61.4,61.34,61.34,61.75,take_profit,0.06
11,short,31,2025-05-23 14:23:00,2025-05-23 16:23:00,61.75,61.34,61.34,62.18,take_profit,0.41
12,short,35,2025-05-27 07:19:00,2025-05-27 07:29:00,61.4,61.34,61.34,61.6,take_profit,0.06
13,long,26,2025-05-27 07:29:00,2025-05-27 07:30:00,61.34,61.3,61.6,61.3,stop_loss,-0.04
14,short,38,2025-05-27 08:27:00,2025-05-27 11:44:00,61.6,61.3,61.3,62.03,take_profit,0.3
15,long,23,2025-05-27 14:50:00,2025-05-27 14:52:00,60.78,60.55,60.96,60.55,stop_loss,-0.23
16,long,34,2025-05-27 14:53:00,2025-05-27 15:38:00,60.55,60.37,60.96,60.37,stop_loss,-0.18
17,short,19,2025-05-29 07:13:00,2025-05-29 10:34:00,62.87,62.44,62.44,63.13,take_profit,0.43
18,long,37,2025-05-29 13:26:00,2025-05-29 13:30:00,61.3,61.21,61.43,61.21,stop_loss,-0.09
19,short,33,2025-05-30 07:30:00,2025-05-30 09:05:00,60.96,61.43,60.55,61.43,stop_loss,-0.47
