trade_id,side,level_id,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl
1,long,4,2025-04-02 08:32:00,2025-04-02 08:33:00,71.16,71.12,71.27,71.12,stop_loss,-0.04
2,long,3,2025-04-02 09:36:00,2025-04-02 09:54:00,71.29,71.12,71.34,71.12,stop_loss,-0.17
3,short,5,2025-04-02 14:00:00,2025-04-02 14:01:00,71.27,71.34,71.12,71.34,stop_loss,-0.07
4,short,6,2025-04-02 14:17:00,2025-04-02 15:08:00,71.34,71.12,71.12,71.75,take_profit,0.22
5,short,26,2025-04-14 07:45:00,2025-04-14 08:14:00,61.87,61.59,61.59,62.28,take_profit,0.28
6,short,30,2025-04-15 07:00:00,2025-04-15 08:13:00,61.87,61.59,61.59,62.28,take_profit,0.28
7,long,22,2025-04-15 08:13:00,2025-04-15 08:22:00,61.59,61.7,61.7,61.54,take_profit,0.11
8,short,29,2025-04-15 08:22:00,2025-04-15 08:23:00,61.7,61.75,61.54,61.75,stop_loss,-0.05
9,long,31,2025-04-16 08:27:00,2025-04-16 08:28:00,61.54,61.75,61.75,61.09,take_profit,0.21
10,short,38,2025-04-23 12:25:00,2025-04-23 12:26:00,62.88,62.92,62.74,62.92,stop_loss,-0.04
11,short,23,2025-04-23 14:11:00,2025-04-23 14:12:00,62.28,62.07,62.07,62.68,take_profit,0.21
12,short,42,2025-04-24 08:53:00,2025-04-24 09:01:00,62.54,62.68,62.07,62.68,stop_loss,-0.14
13,short,43,2025-04-25 07:18:00,2025-04-25 07:19:00,62.88,62.92,62.74,62.92,stop_loss,-0.04
14,short,45,2025-04-28 07:00:00,2025-04-28 07:25:00,63.3,63.35,62.93,63.35,stop_loss,-0.05
15,short,16,2025-04-28 08:52:00,2025-04-28 10:24:00,62.92,62.74,62.74,63.35,take_profit,0.18
16,long,40,2025-04-28 11:51:00,2025-04-28 12:07:00,62.93,62.74,63.35,62.74,stop_loss,-0.19
