trade_id,side,level_id,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl
1,short,1,2025-01-06 18:21:00,2025-01-06 18:56:00,73.35,73.48,73.08,73.48,stop_loss,-0.13
2,long,9,2025-01-07 08:57:00,2025-01-07 09:31:00,73.2,73.48,73.48,73.08,take_profit,0.28
3,short,6,2025-01-08 11:05:00,2025-01-08 11:06:00,74.28,74.35,73.81,74.35,stop_loss,-0.07
4,short,12,2025-01-08 15:17:00,2025-01-08 15:34:00,74.2,74.35,73.81,74.35,stop_loss,-0.15
5,short,2,2025-01-08 16:20:00,2025-01-08 16:21:00,73.48,73.5,73.11,73.5,stop_loss,-0.02
6,long,3,2025-01-09 09:23:00,2025-01-09 09:24:00,73.08,73.05,73.5,73.05,stop_loss,-0.03
7,long,11,2025-01-09 09:24:00,2025-01-09 09:25:00,73.11,73.05,73.5,73.05,stop_loss,-0.06
8,long,0,2025-01-09 09:25:00,2025-01-09 11:08:00,73.05,73.5,73.5,72.74,take_profit,0.45
9,long,15,2025-01-09 16:25:00,2025-01-10 01:00:00,74.26,74.35,74.35,73.81,take_profit,0.09
10,long,22,2025-01-17 12:44:00,2025-01-17 13:12:00,77.67,77.38,77.86,77.38,stop_loss,-0.29
11,long,24,2025-01-20 07:02:00,2025-01-20 07:12:00,77.38,77.28,77.86,77.28,stop_loss,-0.1
12,short,5,2025-01-24 15:00:00,2025-01-24 15:31:00,74.35,74.66,74.14,74.66,stop_loss,-0.31
13,short,20,2025-01-24 16:13:00,2025-01-24 16:30:00,74.26,74.66,74.14,74.66,stop_loss,-0.4
14,long,43,2025-01-27 08:04:00,2025-01-27 09:37:00,74.43,74.66,74.66,74.14,take_profit,0.23
15,long,7,2025-01-27 15:52:00,2025-01-27 16:39:00,73.6,73.13,73.75,73.13,stop_loss,-0.47
16,long,18,2025-01-27 16:39:00,2025-01-27 16:50:00,73.13,72.84,73.28,72.84,stop_loss,-0.29
17,long,16,2025-01-27 16:51:00,2025-01-27 16:52:00,72.84,72.74,73.28,72.74,stop_loss,-0.1
18,long,45,2025-01-28 13:09:00,2025-01-28 13:57:00,73.94,73.81,74.25,73.81,stop_loss,-0.13
19,long,42,2025-01-28 14:05:00,2025-01-28 14:06:00,74.14,74.25,74.25,73.81,take_profit,0.11
20,short,44,2025-01-28 14:06:00,2025-01-28 14:31:00,74.25,73.81,73.81,74.57,take_profit,0.44
