trade_id,side,level_id,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl
1,short,4,2024-10-10 08:12:00,2024-10-10 08:17:00,73.95,74.09,73.53,74.09,stop_loss,-0.14
2,short,6,2024-10-14 07:00:00,2024-10-14 07:01:00,74.54,74.57,74.53,74.57,stop_loss,-0.03
3,short,12,2024-10-14 09:04:00,2024-10-14 09:05:00,73.93,74.09,73.53,74.09,stop_loss,-0.16
4,long,2,2024-10-22 07:00:00,2024-10-22 07:02:00,69.87,69.75,70.35,69.75,stop_loss,-0.12
5,long,23,2024-10-22 08:48:00,2024-10-22 09:21:00,69.99,70.35,70.35,69.75,take_profit,0.36
6,long,1,2024-10-22 13:55:00,2024-10-22 13:56:00,71.65,71.53,71.84,71.53,stop_loss,-0.12
7,short,19,2024-10-23 10:17:00,2024-10-23 10:26:00,70.73,70.38,70.38,70.99,take_profit,0.35
8,short,21,2024-10-23 13:03:00,2024-10-23 13:09:00,70.7,70.99,70.38,70.99,stop_loss,-0.29
9,long,30,2024-10-24 14:52:00,2024-10-24 15:00:00,70.13,70.35,70.35,69.75,take_profit,0.22
10,short,27,2024-10-24 16:08:00,2024-10-24 18:33:00,69.93,70.35,69.75,70.35,stop_loss,-0.42
11,short,33,2024-10-25 07:03:00,2024-10-25 07:43:00,70.55,70.38,70.38,70.99,take_profit,0.17
12,short,32,2024-10-25 15:28:00,2024-10-25 15:29:00,71.8,71.84,71.53,71.84,stop_loss,-0.04
