trade_id,side,level_id,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl
1,long,7,2024-09-16 07:00:00,2024-09-16 07:41:00,69.19,69.39,69.39,68.82,take_profit,0.2
2,short,21,2024-09-16 07:41:00,2024-09-16 07:43:00,69.39,69.5,69.24,69.5,stop_loss,-0.11
3,short,18,2024-09-16 07:48:00,2024-09-16 08:23:00,69.5,69.24,69.24,69.81,take_profit,0.26
4,short,5,2024-09-17 07:22:00,2024-09-17 07:47:00,70.43,70.38,70.38,70.7,take_profit,0.05
5,short,23,2024-09-18 09:02:00,2024-09-18 09:06:00,69.0,69.08,68.82,69.08,stop_loss,-0.08
6,long,8,2024-09-18 09:29:00,2024-09-18 09:54:00,68.82,68.7,69.08,68.7,stop_loss,-0.12
7,long,22,2024-09-18 09:54:00,2024-09-18 10:30:00,68.7,69.08,69.08,68.47,take_profit,0.38
8,short,19,2024-09-18 14:11:00,2024-09-18 14:12:00,69.92,69.91,69.91,70.11,take_profit,0.01
9,long,4,2024-09-19 07:11:00,2024-09-19 07:34:00,70.38,70.7,70.7,69.91,take_profit,0.32
10,short,29,2024-09-19 13:51:00,2024-09-19 14:08:00,70.26,70.7,69.91,70.7,stop_loss,-0.44
11,long,31,2024-09-23 07:19:00,2024-09-23 07:20:00,70.96,70.88,71.2,70.88,stop_loss,-0.08
12,short,25,2024-09-23 07:20:00,2024-09-23 07:38:00,70.75,71.2,70.37,71.2,stop_loss,-0.45
13,long,34,2024-09-23 08:34:00,2024-09-23 09:10:00,70.88,71.2,71.2,70.77,take_profit,0.32
14,short,24,2024-09-23 15:15:00,2024-09-23 15:44:00,70.7,70.37,70.37,71.2,take_profit,0.33
15,short,32,2024-09-24 14:37:00,2024-09-24 14:38:00,71.2,71.45,70.77,71.45,stop_loss,-0.25
16,long,27,2024-09-25 12:13:00,2024-09-25 12:16:00,69.91,70.11,70.11,69.49,take_profit,0.2
17,short,16,2024-09-25 16:19:00,2024-09-25 16:20:00,69.81,69.49,69.49,70.11,take_profit,0.32
18,long,28,2024-09-26 09:42:00,2024-09-26 10:36:00,68.58,68.47,69.08,68.47,stop_loss,-0.11
19,short,14,2024-09-27 16:13:00,2024-09-27 16:14:00,68.5,68.47,68.47,68.76,take_profit,0.03
