trade_id,side,level_id,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl
1,long,2,2025-02-07 07:15:00,2025-02-07 07:16:00,71.04,70.98,71.39,70.98,stop_loss,-0.06
2,short,3,2025-02-07 14:43:00,2025-02-07 15:55:00,71.39,70.98,70.98,71.79,take_profit,0.41
3,long,0,2025-02-12 14:03:00,2025-02-12 14:10:00,72.23,72.13,72.54,72.13,stop_loss,-0.1
4,long,1,2025-02-13 08:32:00,2025-02-13 08:37:00,70.98,70.99,70.99,70.6,take_profit,0.01
5,short,5,2025-02-14 15:25:00,2025-02-14 15:26:00,70.99,71.06,70.6,71.06,stop_loss,-0.07
6,short,15,2025-02-14 16:10:00,2025-02-14 16:57:00,70.83,71.06,70.6,71.06,stop_loss,-0.23
7,long,6,2025-02-14 18:47:00,2025-02-16 23:29:00,70.6,70.22,71.06,70.22,stop_loss,-0.38
8,long,12,2025-02-19 14:41:00,2025-02-19 14:42:00,72.96,72.84,73.2,72.84,stop_loss,-0.12
9,long,8,2025-02-20 07:11:00,2025-02-20 08:55:00,72.13,71.81,72.46,71.81,stop_loss,-0.32
10,short,19,2025-02-20 09:01:00,2025-02-20 12:44:00,72.07,72.46,71.81,72.46,stop_loss,-0.39
11,short,22,2025-02-20 16:31:00,2025-02-20 16:35:00,72.91,72.84,72.84,73.2,take_profit,0.07
