trade_id,side,level_id,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl
1,long,2,2024-12-09 07:47:00,2024-12-09 08:25:00,67.91,68.24,68.24,67.55,take_profit,0.33
2,long,0,2024-12-09 08:25:00,2024-12-09 09:05:00,68.29,68.01,68.42,68.01,stop_loss,-0.28
3,long,10,2024-12-09 09:19:00,2024-12-09 13:18:00,68.01,68.24,68.24,67.55,take_profit,0.23
4,short,1,2024-12-10 08:17:00,2024-12-10 08:18:00,68.24,68.28,68.1,68.28,stop_loss,-0.04
5,short,13,2024-12-10 08:23:00,2024-12-10 08:42:00,68.28,68.42,68.1,68.42,stop_loss,-0.14
6,long,6,2024-12-11 16:43:00,2024-12-11 18:33:00,69.87,70.08,70.08,69.75,take_profit,0.21
7,short,5,2024-12-11 18:33:00,2024-12-11 18:48:00,70.08,70.23,69.75,70.23,stop_loss,-0.15
8,short,4,2024-12-11 18:51:00,2024-12-11 19:20:00,70.23,70.37,69.75,70.37,stop_loss,-0.14
9,short,29,2024-12-18 07:18:00,2024-12-18 12:51:00,69.91,70.37,69.75,70.37,stop_loss,-0.46
10,short,17,2024-12-20 07:20:00,2024-12-20 08:36:00,69.08,69.18,68.81,69.18,stop_loss,-0.1
11,short,18,2024-12-20 08:36:00,2024-12-20 09:02:00,69.18,68.81,68.81,69.27,take_profit,0.37
12,long,28,2024-12-20 09:02:00,2024-12-20 11:58:00,68.81,68.45,69.27,68.45,stop_loss,-0.36
13,short,11,2024-12-20 11:58:00,2024-12-20 12:03:00,68.42,68.61,68.1,68.61,stop_loss,-0.19
14,short,36,2024-12-20 16:09:00,2024-12-20 16:15:00,69.27,69.37,69.19,69.37,stop_loss,-0.1
15,short,19,2024-12-20 16:16:00,2024-12-20 16:23:00,69.37,69.47,69.19,69.47,stop_loss,-0.1
16,short,3,2024-12-20 17:20:00,2024-12-20 17:41:00,69.47,69.69,69.19,69.69,stop_loss,-0.22
17,long,34,2024-12-20 17:41:00,2024-12-20 17:42:00,69.68,69.64,69.69,69.64,stop_loss,-0.04
18,long,31,2024-12-20 17:47:00,2024-12-20 17:48:00,69.64,69.62,69.69,69.62,stop_loss,-0.02
19,long,30,2024-12-20 17:49:00,2024-12-20 18:14:00,69.62,69.69,69.69,69.19,take_profit,0.07
20,short,32,2024-12-20 18:14:00,2024-12-23 12:43:00,69.69,69.19,69.19,70.16,take_profit,0.5
21,long,35,2024-12-23 12:43:00,2024-12-23 13:22:00,69.19,69.2,69.2,68.88,take_profit,0.01
22,short,38,2024-12-23 13:22:00,2024-12-23 13:23:00,69.19,69.2,68.88,69.2,stop_loss,-0.01
23,long,37,2024-12-23 15:33:00,2024-12-23 18:42:00,68.88,69.2,69.2,68.45,take_profit,0.32
24,short,40,2024-12-24 09:25:00,2024-12-24 09:32:00,69.85,69.75,69.75,70.16,take_profit,0.1
25,short,33,2024-12-24 14:00:00,2024-12-24 15:22:00,70.16,70.37,69.75,70.37,stop_loss,-0.21
26,short,27,2024-12-30 07:00:00,2024-12-30 08:01:00,70.54,70.72,70.15,70.72,stop_loss,-0.18
27,short,20,2024-12-30 08:10:00,2024-12-30 09:23:00,70.53,70.72,70.15,70.72,stop_loss,-0.19
28,short,8,2024-12-30 10:06:00,2024-12-30 11:41:00,70.37,70.72,70.15,70.72,stop_loss,-0.35
29,short,23,2024-12-30 12:10:00,2024-12-30 12:37:00,70.93,71.05,70.78,71.05,stop_loss,-0.12
