date,level_type,level,count
2025-02-01,support,72.23,3
2025-02-01,support,72.72666666666667,3
2025-02-01,support,73.114,5
2025-02-01,support,73.72749999999999,4
2025-02-01,support,74.27666666666667,3
2025-02-01,support,75.24,4
2025-02-01,support,77.285,4
2025-02-01,support,77.77000000000001,2
2025-02-01,resistance,72.93,2
2025-02-01,resistance,73.42,6
2025-02-01,resistance,74.31833333333333,6
2025-02-01,resistance,74.72,2
2025-02-01,resistance,76.205,2
2025-02-01,resistance,77.735,2
2025-02-02,support,72.23,3
2025-02-02,support,72.72666666666667,3
2025-02-02,support,73.13,4
2025-02-02,support,73.72749999999999,4
2025-02-02,support,74.27666666666667,3
2025-02-02,support,75.24,4
2025-02-02,support,77.285,4
2025-02-02,support,77.77000000000001,2
2025-02-02,resistance,72.93,2
2025-02-02,resistance,73.42,6
2025-02-02,resistance,74.31833333333333,6
2025-02-02,resistance,74.72,2
2025-02-02,resistance,76.205,2
2025-02-02,resistance,77.735,2
2025-02-03,support,72.23,3
2025-02-03,support,72.72,2
2025-02-03,support,73.14666666666666,3
2025-02-03,support,73.72749999999999,4
2025-02-03,support,74.27666666666667,3
2025-02-03,support,75.24,4
2025-02-03,support,77.285,4
2025-02-03,support,77.77000000000001,2
2025-02-03,resistance,72.93,2
2025-02-03,resistance,73.4225,4
2025-02-03,resistance,74.312,5
2025-02-03,resistance,74.72,2
2025-02-03,resistance,76.205,2
2025-02-03,resistance,77.735,2
2025-02-04,support,72.23,4
2025-02-04,support,72.72,2
2025-02-04,support,73.14666666666666,3
2025-02-04,support,73.72749999999999,4
2025-02-04,support,74.27666666666667,3
2025-02-04,support,75.24,4
2025-02-04,support,77.285,4
2025-02-04,support,77.77000000000001,2
2025-02-04,resistance,72.93,2
2025-02-04,resistance,73.4225,4
2025-02-04,resistance,74.312,5
2025-02-04,resistance,74.72,2
2025-02-04,resistance,76.205,2
2025-02-04,resistance,77.735,2
2025-02-05,support,72.23,4
2025-02-05,support,72.72,2
2025-02-05,support,73.14666666666666,3
2025-02-05,support,73.72749999999999,4
2025-02-05,support,74.27666666666667,3
2025-02-05,support,75.24,4
2025-02-05,support,77.285,4
2025-02-05,support,77.77000000000001,2
2025-02-05,resistance,72.93,2
2025-02-05,resistance,73.4225,4
2025-02-05,resistance,74.312,5
2025-02-05,resistance,74.72,2
2025-02-05,resistance,76.205,2
2025-02-05,resistance,77.735,2
2025-02-06,support,71.01,2
2025-02-06,support,72.23,4
2025-02-06,support,72.72,2
2025-02-06,support,73.12,2
2025-02-06,support,73.77,3
2025-02-06,support,74.27666666666667,3
2025-02-06,support,75.24,4
2025-02-06,support,77.285,4
2025-02-06,support,77.77000000000001,2
2025-02-06,resistance,72.93,2
2025-02-06,resistance,73.4225,4
2025-02-06,resistance,74.32,4
2025-02-06,resistance,74.965,2
2025-02-06,resistance,76.205,2
2025-02-06,resistance,77.735,2
2025-02-07,support,71.01,2
2025-02-07,support,72.23,4
2025-02-07,support,72.72,2
2025-02-07,support,73.75,2
2025-02-07,support,74.27666666666667,3
2025-02-07,support,75.24,4
2025-02-07,support,77.285,4
2025-02-07,support,77.77000000000001,2
2025-02-07,resistance,72.93,2
2025-02-07,resistance,73.39666666666666,3
2025-02-07,resistance,74.36,3
2025-02-07,resistance,76.205,2
2025-02-07,resistance,77.735,2
2025-02-08,support,70.78999999999999,2
2025-02-08,support,72.23,4
2025-02-08,support,72.72,2
2025-02-08,support,73.75,2
2025-02-08,support,74.285,2
2025-02-08,support,75.24,4
2025-02-08,support,77.285,4
2025-02-08,support,77.77000000000001,2
2025-02-08,resistance,72.93,2
2025-02-08,resistance,73.39666666666666,3
2025-02-08,resistance,74.36,3
2025-02-08,resistance,76.205,2
2025-02-08,resistance,77.735,2
2025-02-09,support,70.78999999999999,2
2025-02-09,support,72.23,4
2025-02-09,support,73.75,2
2025-02-09,support,74.285,2
2025-02-09,support,75.24,4
2025-02-09,support,77.285,4
2025-02-09,support,77.77000000000001,2
2025-02-09,resistance,72.93,2
2025-02-09,resistance,73.455,2
2025-02-09,resistance,74.41,2
2025-02-09,resistance,76.205,2
2025-02-09,resistance,77.735,2
2025-02-10,support,70.78999999999999,2
2025-02-10,support,72.23,4
2025-02-10,support,73.75,2
2025-02-10,support,74.285,2
2025-02-10,support,75.24,4
2025-02-10,support,77.285,4
2025-02-10,support,77.77000000000001,2
2025-02-10,resistance,72.93,2
2025-02-10,resistance,73.455,2
2025-02-10,resistance,74.41,2
2025-02-10,resistance,76.205,2
2025-02-11,support,70.78999999999999,2
2025-02-11,support,72.21000000000001,5
2025-02-11,support,73.75,2
2025-02-11,support,74.285,2
2025-02-11,support,75.24,4
2025-02-11,support,77.285,4
2025-02-11,support,77.77000000000001,2
2025-02-11,resistance,72.64,2
2025-02-11,resistance,73.24000000000001,2
2025-02-11,resistance,74.41,2
2025-02-11,resistance,76.205,2
2025-02-12,support,70.78999999999999,2
2025-02-12,support,72.21000000000001,5
2025-02-12,support,72.72,2
