row,level,strength,time,level_type
6,70.48,1.5,2024-11-01 07:00:00,support
10,71.45,1.0,2024-11-01 09:00:00,resistance
43,70.36,1.5,2024-11-04 03:00:00,support
57,71.52,1.0,2024-11-04 10:00:00,resistance
69,70.66,1.0,2024-11-04 16:00:00,support
73,71.64,1.0,2024-11-04 18:00:00,resistance
87,71.29,1.0,2024-11-05 01:30:00,support
122,71.4,1.0,2024-11-05 19:00:00,support
144,70.23,1.5,2024-11-06 06:30:00,support
158,69.74,1.5,2024-11-06 13:30:00,support
180,71.65,1.0,2024-11-07 01:00:00,support
183,72.29,1.0,2024-11-07 02:30:00,resistance
216,72.88,1.0,2024-11-07 19:00:00,resistance
220,71.95,1.0,2024-11-07 21:00:00,support
233,71.73,1.0,2024-11-08 04:00:00,support
243,71.05,1.0,2024-11-08 09:00:00,support
290,70.56,1.0,2024-11-11 09:00:00,resistance
318,68.06,1.0,2024-11-11 23:30:00,support
322,68.32,1.0,2024-11-12 01:30:00,resistance
373,68.45,1.0,2024-11-13 03:30:00,resistance
383,68.0,1.0,2024-11-13 08:30:00,support
408,67.86,1.0,2024-11-13 21:00:00,support
421,67.98,1.0,2024-11-14 04:00:00,support
450,68.1,1.0,2024-11-14 18:30:00,support
466,68.22,1.0,2024-11-15 03:00:00,support
476,67.51,1.0,2024-11-15 08:00:00,support
486,68.69,1.0,2024-11-15 13:00:00,resistance
493,68.62,1.0,2024-11-15 16:30:00,resistance
498,66.82,1.0,2024-11-15 19:00:00,support
514,67.28,1.0,2024-11-18 03:30:00,resistance
574,68.48,1.0,2024-11-19 10:00:00,support
585,69.74,1.5,2024-11-19 15:30:00,resistance
603,69.43,1.0,2024-11-20 01:00:00,resistance
606,69.16,1.0,2024-11-20 02:30:00,support
620,69.92,1.5,2024-11-20 09:30:00,resistance
630,69.96,1.5,2024-11-20 14:30:00,resistance
644,69.18,1.0,2024-11-20 21:30:00,resistance
674,70.38,1.5,2024-11-21 13:00:00,resistance
702,70.58,1.0,2024-11-22 03:30:00,resistance
727,71.21,1.0,2024-11-22 16:00:00,resistance
786,69.12,1.0,2024-11-25 22:00:00,resistance
826,68.05,1.0,2024-11-26 18:30:00,support
840,68.58,1.0,2024-11-27 02:00:00,support
873,68.18,1.0,2024-11-27 18:30:00,support
885,68.86,1.0,2024-11-28 01:00:00,resistance
897,68.79,1.0,2024-11-28 07:00:00,resistance
906,69.3,1.0,2024-11-28 11:30:00,resistance
917,68.56,1.0,2024-11-28 17:00:00,support
928,68.65,1.0,2024-11-29 01:30:00,support
933,69.23,1.0,2024-11-29 04:00:00,resistance
947,68.23,1.0,2024-11-29 11:00:00,support
13,68.29,1.0,2024-12-02 05:30:00,support
52,68.24,1.0,2024-12-03 01:30:00,resistance
55,67.91,1.0,2024-12-03 03:00:00,support
76,69.47,1.0,2024-12-03 13:30:00,resistance
84,70.23,1.5,2024-12-03 17:30:00,resistance
97,70.08,1.5,2024-12-04 00:30:00,resistance
100,69.87,1.5,2024-12-04 02:00:00,support
121,69.75,1.5,2024-12-04 12:30:00,support
125,70.37,1.5,2024-12-04 14:30:00,resistance
156,68.45,1.0,2024-12-05 06:30:00,support
195,68.01,1.0,2024-12-06 02:30:00,support
203,68.42,1.0,2024-12-06 06:30:00,resistance
213,67.55,1.0,2024-12-06 11:30:00,support
254,68.28,1.0,2024-12-09 08:30:00,resistance
280,68.1,1.0,2024-12-09 21:30:00,support
307,67.72,1.0,2024-12-10 11:30:00,support
313,68.61,1.0,2024-12-10 14:30:00,resistance
336,69.08,1.0,2024-12-11 02:30:00,resistance
345,69.18,1.0,2024-12-11 07:00:00,resistance
351,69.37,1.0,2024-12-11 10:00:00,resistance
372,70.53,1.0,2024-12-11 20:30:00,resistance
396,70.72,1.0,2024-12-12 09:00:00,resistance
441,70.37,1.5,2024-12-13 08:00:00,resistance
448,70.93,1.0,2024-12-13 11:30:00,resistance
468,71.05,1.0,2024-12-13 21:30:00,support
485,70.78,1.0,2024-12-16 06:30:00,support
489,71.05,1.0,2024-12-16 08:30:00,resistance
535,70.54,1.0,2024-12-17 08:00:00,resistance
551,68.81,1.0,2024-12-17 16:00:00,support
562,69.91,1.5,2024-12-17 21:30:00,resistance
569,69.62,1.5,2024-12-18 01:30:00,support
575,69.64,1.5,2024-12-18 04:30:00,support
616,69.69,1.5,2024-12-19 01:30:00,resistance
634,70.16,1.5,2024-12-19 10:30:00,resistance
639,69.68,1.5,2024-12-19 13:00:00,support
649,69.19,1.0,2024-12-19 18:00:00,support
659,69.27,1.0,2024-12-19 23:30:00,resistance
668,68.88,1.0,2024-12-20 04:00:00,support
674,69.19,1.0,2024-12-20 07:00:00,resistance
688,69.2,1.0,2024-12-20 14:00:00,resistance
698,69.85,1.5,2024-12-20 19:00:00,resistance
856,69.5,1.5,2024-12-27 07:00:00,support
865,70.32,1.5,2024-12-27 11:30:00,resistance
881,70.75,1.0,2024-12-27 19:30:00,resistance
884,70.15,1.5,2024-12-27 21:00:00,support
928,70.78,1.0,2024-12-30 19:30:00,support
935,71.08,1.0,2024-12-30 23:30:00,support
940,71.6,1.0,2024-12-31 02:00:00,resistance
956,71.35,1.0,2024-12-31 10:00:00,support
