date,level_type,level,count
2024-10-01,support,65.77,2
2024-10-01,support,67.17,2
2024-10-01,support,67.69,2
2024-10-01,support,68.6425,4
2024-10-01,support,69.12666666666667,3
2024-10-01,support,70.5575,4
2024-10-01,support,70.91999999999999,2
2024-10-01,resistance,68.59666666666668,3
2024-10-01,resistance,69.02,3
2024-10-01,resistance,69.445,2
2024-10-01,resistance,69.9625,4
2024-10-01,resistance,70.345,2
2024-10-01,resistance,70.725,2
2024-10-01,resistance,71.325,2
2024-10-01,resistance,71.75,3
2024-10-02,support,65.77,2
2024-10-02,support,67.17,2
2024-10-02,support,67.69,2
2024-10-02,support,68.6425,4
2024-10-02,support,69.12666666666667,3
2024-10-02,support,70.5575,4
2024-10-02,support,70.91999999999999,2
2024-10-02,resistance,68.59666666666668,3
2024-10-02,resistance,69.02,3
2024-10-02,resistance,69.445,2
2024-10-02,resistance,69.9625,4
2024-10-02,resistance,70.345,2
2024-10-02,resistance,70.725,2
2024-10-02,resistance,71.325,2
2024-10-02,resistance,71.75,3
2024-10-03,support,65.77,2
2024-10-03,support,67.17,2
2024-10-03,support,67.69,2
2024-10-03,support,68.6425,4
2024-10-03,support,69.12666666666667,3
2024-10-03,support,69.68,2
2024-10-03,support,70.5575,4
2024-10-03,support,70.91999999999999,2
2024-10-03,resistance,68.59666666666668,3
2024-10-03,resistance,69.02,3
2024-10-03,resistance,69.445,2
2024-10-03,resistance,69.9625,4
2024-10-03,resistance,70.345,2
2024-10-03,resistance,70.83333333333333,3
2024-10-03,resistance,71.325,2
2024-10-03,resistance,71.75,3
2024-10-03,resistance,72.425,2
2024-10-04,support,65.77,2
2024-10-04,support,67.17,2
2024-10-04,support,67.69,2
2024-10-04,support,68.6425,4
2024-10-04,support,69.12666666666667,3
2024-10-04,support,69.68,2
2024-10-04,support,70.61666666666666,3
2024-10-04,support,70.91999999999999,2
2024-10-04,resistance,68.59666666666668,3
2024-10-04,resistance,69.02,3
2024-10-04,resistance,69.445,2
2024-10-04,resistance,69.9625,4
2024-10-04,resistance,70.83333333333333,3
2024-10-04,resistance,71.325,2
2024-10-04,resistance,71.75,3
2024-10-04,resistance,72.425,2
2024-10-04,resistance,74.02000000000001,2
2024-10-05,support,65.77,2
2024-10-05,support,67.17,2
2024-10-05,support,67.69,2
2024-10-05,support,68.58333333333333,3
2024-10-05,support,69.095,2
2024-10-05,support,69.68,2
2024-10-05,support,70.61666666666666,3
2024-10-05,support,70.91999999999999,2
2024-10-05,resistance,68.59666666666668,3
2024-10-05,resistance,69.02,3
2024-10-05,resistance,69.445,2
2024-10-05,resistance,69.91333333333334,3
2024-10-05,resistance,70.83333333333333,3
2024-10-05,resistance,71.325,2
2024-10-05,resistance,71.75,3
2024-10-05,resistance,72.425,2
2024-10-05,resistance,74.02000000000001,2
2024-10-06,support,65.77,2
2024-10-06,support,67.17,2
2024-10-06,support,67.69,2
2024-10-06,support,68.58333333333333,3
2024-10-06,support,69.095,2
2024-10-06,support,69.68,2
2024-10-06,support,70.61666666666666,3
2024-10-06,support,70.91999999999999,2
2024-10-06,resistance,68.59666666666668,3
2024-10-06,resistance,69.02,3
2024-10-06,resistance,69.445,2
2024-10-06,resistance,69.91333333333334,3
2024-10-06,resistance,70.83333333333333,3
2024-10-06,resistance,71.325,2
2024-10-06,resistance,71.75,3
2024-10-06,resistance,72.425,2
2024-10-06,resistance,74.02000000000001,2
2024-10-07,support,65.77,2
2024-10-07,support,67.17,2
2024-10-07,support,67.69,2
2024-10-07,support,68.58333333333333,3
2024-10-07,support,69.095,2
2024-10-07,support,69.68,2
2024-10-07,support,70.61666666666666,3
2024-10-07,support,70.91999999999999,2
2024-10-07,resistance,68.59666666666668,3
2024-10-07,resistance,69.02,3
2024-10-07,resistance,69.445,2
2024-10-07,resistance,69.91333333333334,3
2024-10-07,resistance,70.83333333333333,3
2024-10-07,resistance,71.325,2
2024-10-07,resistance,71.75,3
2024-10-07,resistance,72.425,2
2024-10-07,resistance,74.02000000000001,2
2024-10-08,support,65.77,2
2024-10-08,support,67.17,2
2024-10-08,support,67.69,2
2024-10-08,support,68.58333333333333,3
2024-10-08,support,69.095,2
2024-10-08,support,69.68,2
2024-10-08,support,70.61666666666666,3
2024-10-08,support,70.91999999999999,2
2024-10-08,resistance,68.59666666666668,3
2024-10-08,resistance,69.02,3
2024-10-08,resistance,69.445,2
2024-10-08,resistance,69.91333333333334,3
2024-10-08,resistance,70.83333333333333,3
2024-10-08,resistance,71.325,2
2024-10-08,resistance,71.75,3
2024-10-08,resistance,72.425,2
2024-10-08,resistance,74.02000000000001,2
2024-10-09,support,65.77,2
2024-10-09,support,67.17,2
2024-10-09,support,67.69,2
2024-10-09,support,68.58333333333333,3
2024-10-09,support,69.095,2
2024-10-09,support,69.68,2
2024-10-09,support,70.61666666666666,3
2024-10-09,support,70.91999999999999,2
2024-10-09,resistance,68.59666666666668,3
2024-10-09,resistance,69.02,3
2024-10-09,resistance,69.445,2
2024-10-09,resistance,69.91333333333334,3
2024-10-09,resistance,70.83333333333333,3
2024-10-09,resistance,71.325,2
2024-10-09,resistance,71.75,3
2024-10-09,resistance,72.425,2
2024-10-09,resistance,74.02000000000001,2
2024-10-10,support,65.77,2
2024-10-10,support,67.17,2
2024-10-10,support,67.69,2
2024-10-10,support,68.58333333333333,3
2024-10-10,support,69.095,2
2024-10-10,support,69.68,2
2024-10-10,support,70.61666666666666,3
2024-10-10,support,70.91999999999999,2
2024-10-10,support,71.59,2
2024-10-10,resistance,68.59666666666668,3
2024-10-10,resistance,69.02,3
2024-10-10,resistance,69.445,2
2024-10-10,resistance,69.91333333333334,3
2024-10-10,resistance,70.83333333333333,3
2024-10-10,resistance,71.325,2
2024-10-10,resistance,71.75,3
2024-10-10,resistance,72.425,2
2024-10-10,resistance,74.10000000000001,3
2024-10-11,support,65.77,2
2024-10-11,support,67.17,2
2024-10-11,support,67.69,2
2024-10-11,support,68.58333333333333,3
2024-10-11,support,69.095,2
2024-10-11,support,69.68,2
2024-10-11,support,70.61666666666666,3
2024-10-11,support,70.91999999999999,2
2024-10-11,support,71.59,2
2024-10-11,resistance,68.59666666666668,3
2024-10-11,resistance,68.99000000000001,2
2024-10-11,resistance,69.445,2
2024-10-11,resistance,69.91333333333334,3
2024-10-11,resistance,70.83333333333333,3
2024-10-11,resistance,71.325,2
2024-10-11,resistance,71.75,3
2024-10-11,resistance,72.425,2
2024-10-11,resistance,74.0575,4
2024-10-11,resistance,74.555,2
2024-10-12,support,67.43,2
2024-10-12,support,68.58333333333333,3
2024-10-12,support,69.095,2
2024-10-12,support,69.68,2
