date,level_type,level,count
2025-04-11,support,68.17666666666666,3
2025-04-11,support,68.97000000000001,3
2025-04-11,support,69.435,4
2025-04-11,support,71.19,3
2025-04-11,resistance,58.165000000000006,2
2025-04-11,resistance,67.24,3
2025-04-11,resistance,67.78,3
2025-04-11,resistance,68.4575,4
2025-04-11,resistance,69.095,2
2025-04-11,resistance,70.05333333333333,3
2025-04-11,resistance,71.29333333333334,3
2025-04-11,resistance,71.85666666666667,3
2025-04-12,support,60.290000000000006,2
2025-04-12,support,66.23400000000001,5
2025-04-12,support,66.66,3
2025-04-12,support,67.255,2
2025-04-12,support,68.17666666666666,3
2025-04-12,support,68.97000000000001,3
2025-04-12,support,69.435,4
2025-04-12,support,71.19,3
2025-04-12,resistance,58.165000000000006,2
2025-04-12,resistance,67.24,3
2025-04-12,resistance,67.78999999999999,2
2025-04-12,resistance,68.4575,4
2025-04-12,resistance,69.095,2
2025-04-12,resistance,70.05333333333333,3
2025-04-12,resistance,71.29333333333334,3
2025-04-12,resistance,71.85666666666667,3
2025-04-13,support,60.290000000000006,2
2025-04-13,support,66.23400000000001,5
2025-04-13,support,66.66,3
2025-04-13,support,68.17666666666666,3
2025-04-13,support,68.97000000000001,3
2025-04-13,support,69.435,4
2025-04-13,support,71.19,3
2025-04-13,resistance,58.165000000000006,2
2025-04-13,resistance,67.24,3
2025-04-13,resistance,68.4575,4
2025-04-13,resistance,69.095,2
2025-04-13,resistance,70.05333333333333,3
2025-04-13,resistance,71.29333333333334,3
2025-04-13,resistance,71.85666666666667,3
2025-04-14,support,60.290000000000006,2
2025-04-14,support,66.23400000000001,5
2025-04-14,support,66.66,3
2025-04-14,support,68.17666666666666,3
2025-04-14,support,68.97000000000001,3
2025-04-14,support,69.435,4
2025-04-14,support,71.19,3
2025-04-14,resistance,58.165000000000006,2
2025-04-14,resistance,68.4575,4
2025-04-14,resistance,69.095,2
2025-04-14,resistance,70.05333333333333,3
2025-04-14,resistance,71.29333333333334,3
2025-04-14,resistance,71.85666666666667,3
2025-04-15,support,60.290000000000006,2
2025-04-15,support,61.565,2
2025-04-15,support,66.23400000000001,5
2025-04-15,support,66.66,3
2025-04-15,support,68.17666666666666,3
2025-04-15,support,68.97000000000001,3
2025-04-15,support,69.435,4
2025-04-15,support,71.19,3
2025-04-15,resistance,58.165000000000006,2
2025-04-15,resistance,61.7975,4
2025-04-15,resistance,62.480000000000004,2
2025-04-15,resistance,68.4575,4
2025-04-15,resistance,69.095,2
2025-04-15,resistance,70.05333333333333,3
2025-04-15,resistance,71.29333333333334,3
2025-04-15,resistance,71.85666666666667,3
2025-04-16,support,60.290000000000006,2
2025-04-16,support,60.95,2
2025-04-16,support,61.565,2
2025-04-16,support,66.23400000000001,5
2025-04-16,support,66.66,3
2025-04-16,support,68.17666666666666,3
2025-04-16,support,68.97000000000001,3
2025-04-16,support,69.435,4
2025-04-16,support,71.19,3
2025-04-16,resistance,58.165000000000006,2
2025-04-16,resistance,61.803999999999995,5
2025-04-16,resistance,62.480000000000004,2
2025-04-16,resistance,68.4575,4
2025-04-16,resistance,69.095,2
2025-04-16,resistance,70.05333333333333,3
2025-04-16,resistance,71.29333333333334,3
2025-04-16,resistance,71.85666666666667,3
2025-04-17,support,60.290000000000006,2
2025-04-17,support,60.95,2
2025-04-17,support,61.565,2
2025-04-17,support,66.23400000000001,5
2025-04-17,support,66.66,3
2025-04-17,support,68.17666666666666,3
2025-04-17,support,68.97000000000001,3
2025-04-17,support,69.435,4
2025-04-17,support,71.19,3
2025-04-17,resistance,58.165000000000006,2
2025-04-17,resistance,61.803999999999995,5
2025-04-17,resistance,62.225,2
2025-04-17,resistance,62.8,2
2025-04-17,resistance,68.48666666666666,3
2025-04-17,resistance,69.095,2
2025-04-17,resistance,70.05333333333333,3
2025-04-17,resistance,71.29333333333334,3
2025-04-17,resistance,71.85666666666667,3
2025-04-18,support,60.290000000000006,2
2025-04-18,support,60.95,2
2025-04-18,support,61.565,2
2025-04-18,support,66.23400000000001,5
2025-04-18,support,66.705,2
2025-04-18,support,68.17666666666666,3
2025-04-18,support,68.97000000000001,3
2025-04-18,support,69.435,4
2025-04-18,support,71.19,3
2025-04-18,resistance,58.165000000000006,2
2025-04-18,resistance,61.803999999999995,5
2025-04-18,resistance,62.225,2
2025-04-18,resistance,62.8,2
2025-04-18,resistance,68.47999999999999,2
2025-04-18,resistance,69.095,2
2025-04-18,resistance,70.05333333333333,3
2025-04-18,resistance,71.29333333333334,3
2025-04-18,resistance,71.85666666666667,3
2025-04-19,support,60.290000000000006,2
2025-04-19,support,60.95,2
2025-04-19,support,61.565,2
2025-04-19,support,66.22,2
2025-04-19,support,66.705,2
2025-04-19,support,68.17666666666666,3
2025-04-19,support,68.97000000000001,3
2025-04-19,support,69.435,4
2025-04-19,support,71.19,3
2025-04-19,resistance,58.165000000000006,2
2025-04-19,resistance,61.803999999999995,5
2025-04-19,resistance,62.225,2
2025-04-19,resistance,62.8,2
2025-04-19,resistance,68.47999999999999,2
2025-04-19,resistance,69.095,2
2025-04-19,resistance,70.05333333333333,3
2025-04-19,resistance,71.29333333333334,3
2025-04-19,resistance,71.85666666666667,3
2025-04-20,support,60.290000000000006,2
2025-04-20,support,60.95,2
2025-04-20,support,61.565,2
2025-04-20,support,66.22,2
2025-04-20,support,68.17666666666666,3
2025-04-20,support,68.97000000000001,3
2025-04-20,support,69.435,4
2025-04-20,support,71.19,3
2025-04-20,resistance,58.165000000000006,2
2025-04-20,resistance,61.803999999999995,5
2025-04-20,resistance,62.225,2
2025-04-20,resistance,62.8,2
2025-04-20,resistance,68.47999999999999,2
2025-04-20,resistance,69.095,2
2025-04-20,resistance,70.05333333333333,3
2025-04-20,resistance,71.29333333333334,3
2025-04-20,resistance,71.85666666666667,3
2025-04-21,support,60.290000000000006,2
2025-04-21,support,60.95,2
2025-04-21,support,61.565,2
2025-04-21,support,66.22,2
2025-04-21,support,68.11,2
2025-04-21,support,68.97000000000001,3
2025-04-21,support,69.435,4
2025-04-21,support,71.19,3
2025-04-21,resistance,58.165000000000006,2
2025-04-21,resistance,61.803999999999995,5
2025-04-21,resistance,62.225,2
2025-04-21,resistance,62.8,2
2025-04-21,resistance,68.735,2
2025-04-21,resistance,70.05333333333333,3
2025-04-21,resistance,71.29333333333334,3
2025-04-21,resistance,71.85666666666667,3
2025-04-22,support,60.290000000000006,2
2025-04-22,support,60.95,2
2025-04-22,support,61.565,2
2025-04-22,support,66.22,2
2025-04-22,support,68.11,2
2025-04-22,support,68.97000000000001,3
2025-04-22,support,69.435,4
2025-04-22,support,71.19,3
2025-04-22,resistance,58.165000000000006,2
2025-04-22,resistance,61.803999999999995,5
2025-04-22,resistance,62.225,2
2025-04-22,resistance,62.826666666666675,3
2025-04-22,resistance,68.735,2
2025-04-22,resistance,70.05333333333333,3
2025-04-22,resistance,71.29333333333334,3
2025-04-22,resistance,71.85666666666667,3
2025-04-23,support,60.290000000000006,2
2025-04-23,support,60.95,2
2025-04-23,support,61.565,2
2025-04-23,support,62.835,2
2025-04-23,support,66.22,2
2025-04-23,support,68.11,2
2025-04-23,support,68.97000000000001,3
2025-04-23,support,69.435,4
2025-04-23,support,71.19,3
2025-04-23,resistance,58.165000000000006,2
2025-04-23,resistance,61.803999999999995,5
2025-04-23,resistance,62.225,2
