date,level_type,level,count
2025-05-01,support,59.423333333333325,3
2025-05-01,support,60.23333333333333,3
2025-05-01,support,60.95,2
2025-05-01,support,61.60666666666666,3
2025-05-01,support,62.74666666666667,3
2025-05-01,support,66.22,2
2025-05-01,support,69.125,2
2025-05-01,support,71.19,3
2025-05-01,resistance,58.165000000000006,2
2025-05-01,resistance,61.846666666666664,6
2025-05-01,resistance,62.330000000000005,3
2025-05-01,resistance,62.84,4
2025-05-01,resistance,63.4225,4
2025-05-01,resistance,71.29333333333334,3
2025-05-01,resistance,71.87,2
2025-05-02,support,56.575,2
2025-05-02,support,58.745,2
2025-05-02,support,59.423333333333325,3
2025-05-02,support,60.23333333333333,3
2025-05-02,support,60.95,2
2025-05-02,support,61.60666666666666,3
2025-05-02,support,62.74666666666667,3
2025-05-02,support,66.22,2
2025-05-02,support,69.125,2
2025-05-02,resistance,58.165000000000006,2
2025-05-02,resistance,61.846666666666664,6
2025-05-02,resistance,62.330000000000005,3
2025-05-02,resistance,62.84,4
2025-05-02,resistance,63.4225,4
2025-05-03,support,56.575,2
2025-05-03,support,58.72,3
2025-05-03,support,59.423333333333325,3
2025-05-03,support,60.23333333333333,3
2025-05-03,support,60.95,2
2025-05-03,support,61.60666666666666,3
2025-05-03,support,62.74666666666667,3
2025-05-03,support,66.22,2
2025-05-03,resistance,58.165000000000006,2
2025-05-03,resistance,59.685,2
2025-05-03,resistance,61.846666666666664,6
2025-05-03,resistance,62.330000000000005,3
2025-05-03,resistance,62.84,4
2025-05-03,resistance,63.4225,4
2025-05-04,support,56.575,2
2025-05-04,support,58.72,3
2025-05-04,support,59.423333333333325,3
2025-05-04,support,60.23333333333333,3
2025-05-04,support,60.95,2
2025-05-04,support,61.60666666666666,3
2025-05-04,support,62.74666666666667,3
2025-05-04,resistance,58.165000000000006,2
2025-05-04,resistance,59.685,2
2025-05-04,resistance,61.846666666666664,6
2025-05-04,resistance,62.330000000000005,3
2025-05-04,resistance,62.84,4
2025-05-04,resistance,63.4225,4
2025-05-05,support,56.575,2
2025-05-05,support,58.72,3
2025-05-05,support,59.423333333333325,3
2025-05-05,support,60.125,2
2025-05-05,support,61.60666666666666,3
2025-05-05,support,62.74666666666667,3
2025-05-05,resistance,58.165000000000006,2
2025-05-05,resistance,59.685,2
2025-05-05,resistance,61.846666666666664,6
2025-05-05,resistance,62.330000000000005,3
2025-05-05,resistance,62.81333333333333,3
2025-05-05,resistance,63.4225,4
2025-05-06,support,56.575,2
2025-05-06,support,58.72,3
2025-05-06,support,59.423333333333325,3
2025-05-06,support,60.125,2
2025-05-06,support,61.60666666666666,3
2025-05-06,support,62.74666666666667,3
2025-05-06,resistance,58.165000000000006,2
2025-05-06,resistance,59.685,2
2025-05-06,resistance,61.846666666666664,6
2025-05-06,resistance,62.330000000000005,3
2025-05-06,resistance,62.81333333333333,3
2025-05-06,resistance,63.4225,4
2025-05-07,support,56.575,2
2025-05-07,support,58.72,3
2025-05-07,support,59.36,2
2025-05-07,support,60.125,2
2025-05-07,support,61.60666666666666,3
2025-05-07,support,62.74666666666667,3
2025-05-07,resistance,58.165000000000006,2
2025-05-07,resistance,59.69333333333333,3
2025-05-07,resistance,61.846666666666664,6
2025-05-07,resistance,62.330000000000005,3
2025-05-07,resistance,62.81333333333333,3
2025-05-07,resistance,63.4225,4
2025-05-08,support,56.575,2
2025-05-08,support,57.935,2
2025-05-08,support,58.72,3
2025-05-08,support,59.336666666666666,3
2025-05-08,support,60.125,2
2025-05-08,support,61.60666666666666,3
2025-05-08,support,62.74666666666667,3
2025-05-08,resistance,58.165000000000006,2
2025-05-08,resistance,59.69333333333333,3
2025-05-08,resistance,61.846666666666664,6
2025-05-08,resistance,62.330000000000005,3
2025-05-08,resistance,62.81333333333333,3
2025-05-08,resistance,63.4225,4
2025-05-09,support,56.575,2
2025-05-09,support,57.935,2
2025-05-09,support,58.72,3
2025-05-09,support,59.336666666666666,3
2025-05-09,support,60.125,2
2025-05-09,support,61.60666666666666,3
2025-05-09,support,62.74666666666667,3
2025-05-09,resistance,58.165000000000006,2
2025-05-09,resistance,58.754999999999995,2
2025-05-09,resistance,59.69333333333333,3
2025-05-09,resistance,60.275,2
2025-05-09,resistance,61.846666666666664,6
2025-05-09,resistance,62.330000000000005,3
2025-05-09,resistance,62.81333333333333,3
2025-05-09,resistance,63.4225,4
2025-05-10,support,57.935,2
2025-05-10,support,58.72,3
2025-05-10,support,59.336666666666666,3
2025-05-10,support,60.125,2
2025-05-10,support,61.614999999999995,2
2025-05-10,support,62.74666666666667,3
2025-05-10,resistance,58.754999999999995,2
2025-05-10,resistance,59.69333333333333,3
2025-05-10,resistance,60.275,2
2025-05-10,resistance,61.846666666666664,6
2025-05-10,resistance,62.330000000000005,3
2025-05-10,resistance,62.81333333333333,3
2025-05-10,resistance,63.4225,4
2025-05-11,support,57.935,2
2025-05-11,support,58.7,2
2025-05-11,support,59.336666666666666,3
2025-05-11,support,61.614999999999995,2
2025-05-11,support,62.74666666666667,3
2025-05-11,resistance,58.754999999999995,2
2025-05-11,resistance,59.69333333333333,3
2025-05-11,resistance,60.275,2
2025-05-11,resistance,61.846666666666664,6
2025-05-11,resistance,62.355000000000004,2
2025-05-11,resistance,62.81333333333333,3
2025-05-11,resistance,63.4225,4
2025-05-12,support,57.935,2
2025-05-12,support,58.7,2
2025-05-12,support,59.336666666666666,3
2025-05-12,support,61.614999999999995,2
2025-05-12,support,62.74666666666667,3
2025-05-12,resistance,58.754999999999995,2
2025-05-12,resistance,59.69333333333333,3
2025-05-12,resistance,60.275,2
2025-05-12,resistance,61.842,5
2025-05-12,resistance,62.355000000000004,2
2025-05-12,resistance,62.81333333333333,3
2025-05-12,resistance,63.4225,4
2025-05-13,support,57.935,2
2025-05-13,support,58.7,2
2025-05-13,support,59.336666666666666,3
2025-05-13,support,61.05500000000001,2
2025-05-13,support,61.614999999999995,2
2025-05-13,support,62.075,2
2025-05-13,support,62.74666666666667,3
2025-05-13,resistance,58.754999999999995,2
2025-05-13,resistance,59.69333333333333,3
2025-05-13,resistance,60.275,2
2025-05-13,resistance,61.842,5
2025-05-13,resistance,62.355000000000004,2
2025-05-13,resistance,62.81333333333333,3
2025-05-13,resistance,63.42,5
2025-05-14,support,57.935,2
2025-05-14,support,58.7,2
2025-05-14,support,59.336666666666666,3
2025-05-14,support,61.05500000000001,2
2025-05-14,support,61.614999999999995,2
2025-05-14,support,62.075,2
2025-05-14,support,62.74666666666667,3
2025-05-14,resistance,58.754999999999995,2
2025-05-14,resistance,59.69333333333333,3
2025-05-14,resistance,60.275,2
2025-05-14,resistance,61.842,5
