row,level,strength,time,level_type
10,62.7,1.0,2025-06-02 03:00:00,resistance
31,63.88,1.0,2025-06-02 13:30:00,resistance
65,62.66,1.0,2025-06-03 07:00:00,support
72,62.4,1.0,2025-06-03 10:30:00,support
77,63.46,1.0,2025-06-03 13:00:00,resistance
105,63.14,1.0,2025-06-04 03:30:00,support
154,62.5,1.0,2025-06-05 04:30:00,support
160,63.16,1.0,2025-06-05 07:30:00,resistance
180,63.2,1.0,2025-06-05 17:30:00,support
199,63.1,1.0,2025-06-06 03:30:00,support
229,64.35,1.0,2025-06-06 18:30:00,support
236,64.86,1.25,2025-06-08 22:30:00,resistance
255,64.2,1.0,2025-06-09 08:00:00,support
291,65.66,1.0,2025-06-10 02:30:00,resistance
324,64.57,1.25,2025-06-10 19:00:00,support
390,67.98,1.0,2025-06-12 05:00:00,resistance
404,66.72,1.0,2025-06-12 12:00:00,support
423,68.91,1.0,2025-06-12 22:00:00,resistance
429,74.35,1.0,2025-06-13 01:00:00,resistance
442,70.84,1.0,2025-06-13 07:30:00,support
466,74.02,1.0,2025-06-13 19:30:00,resistance
493,72.24,1.0,2025-06-16 09:30:00,support
521,72.12,1.0,2025-06-17 00:00:00,resistance
533,71.01,1.0,2025-06-17 06:00:00,resistance
640,74.6,1.25,2025-06-19 12:30:00,resistance
765,64.67,1.25,2025-06-24 07:00:00,support
773,66.83,1.0,2025-06-24 11:00:00,resistance
814,65.65,1.0,2025-06-25 08:00:00,resistance
832,66.03,1.0,2025-06-25 17:00:00,resistance
851,65.38,1.25,2025-06-26 03:00:00,resistance
876,66.42,1.0,2025-06-26 15:30:00,resistance
898,65.72,1.0,2025-06-27 03:00:00,resistance
957,65.82,1.0,2025-06-30 09:00:00,resistance
971,64.63,1.25,2025-06-30 16:00:00,support
5,65.58,1.0,2025-07-02 06:00:00,resistance
22,65.28,1.25,2025-07-02 14:30:00,support
46,66.78,1.0,2025-07-03 03:00:00,support
49,67.04,1.0,2025-07-03 04:30:00,resistance
56,66.65,1.0,2025-07-03 08:00:00,support
84,67.0,1.0,2025-07-03 22:30:00,support
94,66.72,1.0,2025-07-04 03:30:00,support
98,67.02,1.0,2025-07-04 05:30:00,resistance
199,67.99,1.0,2025-07-08 13:00:00,resistance
208,68.91,1.0,2025-07-08 17:30:00,resistance
217,67.78,1.0,2025-07-08 22:30:00,support
224,68.19,1.0,2025-07-09 02:00:00,resistance
232,68.06,1.0,2025-07-09 06:00:00,support
238,68.94,1.0,2025-07-09 09:00:00,resistance
248,67.7,1.0,2025-07-09 14:00:00,support
255,68.87,1.0,2025-07-09 17:30:00,resistance
260,68.21,1.0,2025-07-09 20:00:00,support
268,68.04,1.0,2025-07-10 00:30:00,support
304,66.45,1.0,2025-07-10 18:30:00,support
316,66.64,1.0,2025-07-11 01:00:00,support
332,66.5,1.0,2025-07-11 09:00:00,support
338,67.54,1.0,2025-07-11 12:00:00,resistance
376,68.41,1.0,2025-07-14 07:30:00,support
434,67.13,1.0,2025-07-15 13:00:00,resistance
442,66.22,1.0,2025-07-15 17:00:00,support
459,67.0,1.0,2025-07-16 02:00:00,resistance
492,66.8,1.0,2025-07-16 18:30:00,resistance
504,66.99,1.0,2025-07-17 01:00:00,resistance
541,67.69,1.0,2025-07-17 19:30:00,resistance
552,66.4,1.0,2025-07-18 01:30:00,resistance
567,66.36,1.0,2025-07-18 09:00:00,support
585,65.93,1.0,2025-07-18 18:00:00,support
625,65.21,1.25,2025-07-21 14:30:00,support
648,65.3,1.25,2025-07-22 02:30:00,support
657,65.72,1.0,2025-07-22 07:00:00,resistance
661,65.03,1.25,2025-07-22 09:00:00,support
684,65.65,1.0,2025-07-22 20:30:00,resistance
712,64.73,1.25,2025-07-23 11:00:00,support
740,65.59,1.0,2025-07-24 01:30:00,resistance
757,66.32,1.0,2025-07-24 10:00:00,resistance
777,66.29,1.0,2025-07-24 20:00:00,resistance
789,66.49,1.0,2025-07-25 02:30:00,resistance
816,65.17,1.25,2025-07-25 16:00:00,support
882,66.65,1.0,2025-07-29 02:00:00,support
889,66.53,1.0,2025-07-29 05:30:00,support
901,66.61,1.0,2025-07-29 11:30:00,support
916,69.76,1.5,2025-07-29 19:00:00,resistance
938,69.01,1.0,2025-07-30 06:30:00,support
947,68.45,1.0,2025-07-30 11:00:00,support
992,69.35,1.0,2025-07-31 10:00:00,support
