row,level,strength,time,level_type
943,72.6,1.0,2025-01-30 03:00:00,support
951,72.74,1.0,2025-01-30 07:00:00,resistance
957,72.02,1.0,2025-01-30 10:00:00,support
965,72.29,1.0,2025-01-30 14:00:00,support
969,73.55,1.0,2025-01-30 16:00:00,resistance
1012,73.12,1.0,2025-01-31 14:00:00,resistance
46,72.23,1.0,2025-02-03 22:00:00,support
130,70.98,1.0,2025-02-05 17:00:00,support
142,71.04,1.0,2025-02-05 23:30:00,support
157,71.39,1.0,2025-02-06 07:00:00,resistance
165,71.79,1.0,2025-02-06 11:00:00,resistance
198,70.99,1.0,2025-02-07 04:00:00,resistance
224,70.6,1.0,2025-02-07 17:00:00,support
272,72.54,1.0,2025-02-10 17:30:00,resistance
276,72.13,1.0,2025-02-10 19:30:00,support
306,73.34,1.0,2025-02-11 11:00:00,resistance
312,73.68,1.0,2025-02-11 14:00:00,resistance
315,72.84,1.0,2025-02-11 15:30:00,support
343,72.96,1.0,2025-02-12 06:00:00,support
346,73.2,1.0,2025-02-12 07:30:00,resistance
375,71.17,1.0,2025-02-12 22:00:00,support
391,70.83,1.0,2025-02-13 06:30:00,resistance
397,71.06,1.0,2025-02-13 09:30:00,resistance
400,70.22,1.5,2025-02-13 11:00:00,support
562,71.69,1.0,2025-02-19 00:30:00,support
565,72.07,1.0,2025-02-19 02:00:00,resistance
570,71.81,1.0,2025-02-19 04:30:00,support
579,72.46,1.0,2025-02-19 09:00:00,resistance
591,72.91,1.0,2025-02-19 15:00:00,resistance
624,72.34,1.0,2025-02-20 08:00:00,resistance
643,73.14,1.0,2025-02-20 17:30:00,resistance
660,72.35,1.0,2025-02-21 02:30:00,support
673,71.87,1.0,2025-02-21 09:00:00,support
706,70.1,1.5,2025-02-24 02:00:00,support
712,70.14,1.5,2025-02-24 05:00:00,support
729,70.18,1.5,2025-02-24 13:30:00,support
751,70.71,1.0,2025-02-25 01:00:00,support
783,68.68,1.0,2025-02-25 17:00:00,support
807,69.19,1.0,2025-02-26 05:30:00,resistance
849,68.9,1.0,2025-02-27 03:00:00,resistance
856,68.84,1.0,2025-02-27 06:30:00,resistance
908,69.45,1.0,2025-02-28 09:00:00,support
928,70.29,1.5,2025-02-28 19:00:00,resistance
21,69.26,1.0,2025-03-03 09:30:00,support
34,69.15,1.0,2025-03-03 16:00:00,support
53,67.96,1.0,2025-03-04 02:00:00,support
61,67.76,1.0,2025-03-04 06:00:00,support
75,67.09,1.0,2025-03-04 13:00:00,support
149,66.86,1.0,2025-03-06 03:00:00,resistance
178,65.59,1.0,2025-03-06 17:30:00,support
196,66.57,1.0,2025-03-07 03:00:00,resistance
221,68.22,1.0,2025-03-07 15:30:00,resistance
239,66.5,1.0,2025-03-10 00:00:00,support
265,67.6,1.0,2025-03-10 13:00:00,resistance
269,66.37,1.0,2025-03-10 15:00:00,support
289,65.29,1.25,2025-03-11 01:30:00,support
323,66.0,1.0,2025-03-11 18:30:00,support
348,66.15,1.0,2025-03-12 07:30:00,support
362,67.76,1.0,2025-03-12 14:30:00,resistance
393,67.4,1.0,2025-03-13 06:30:00,support
397,67.94,1.0,2025-03-13 08:30:00,resistance
401,67.11,1.0,2025-03-13 10:30:00,support
434,67.14,1.0,2025-03-14 03:30:00,resistance
442,67.41,1.0,2025-03-14 07:30:00,resistance
477,68.37,1.0,2025-03-17 01:30:00,resistance
482,67.52,1.0,2025-03-17 04:00:00,support
527,67.64,1.0,2025-03-18 03:00:00,resistance
542,68.5,1.0,2025-03-18 10:30:00,resistance
556,66.57,1.0,2025-03-18 17:30:00,support
571,66.43,1.0,2025-03-19 01:30:00,support
582,66.21,1.0,2025-03-19 07:00:00,support
588,66.09,1.0,2025-03-19 10:00:00,support
637,66.78,1.0,2025-03-20 11:00:00,support
643,66.63,1.0,2025-03-20 14:00:00,support
667,68.31,1.0,2025-03-21 02:30:00,support
698,68.41,1.0,2025-03-21 18:00:00,resistance
713,67.97,1.0,2025-03-24 02:00:00,support
725,68.55,1.0,2025-03-24 08:00:00,resistance
732,68.92,1.0,2025-03-24 11:30:00,resistance
736,68.25,1.0,2025-03-24 13:30:00,support
749,69.27,1.0,2025-03-24 20:00:00,resistance
813,69.12,1.0,2025-03-26 05:00:00,support
839,69.45,1.0,2025-03-26 18:00:00,support
845,69.99,1.5,2025-03-26 21:00:00,resistance
865,69.38,1.0,2025-03-27 07:30:00,support
909,69.64,1.5,2025-03-28 06:00:00,support
917,70.09,1.5,2025-03-28 10:00:00,resistance
923,70.08,1.5,2025-03-28 13:00:00,resistance
946,68.81,1.0,2025-03-31 01:00:00,support
978,71.83,1.0,2025-03-31 17:00:00,resistance
