trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size,level_order,position_size
1,short,2025-04-02 14:01:00,2025-04-02 20:28:00,71.305,71.305,71.305,,take_profit,-0.0,resistance,0,2,62.5
2,short,2025-04-02 16:24:00,2025-04-02 22:08:00,71.8567,70.0533,70.0533,,take_profit,112.7125,resistance,0,3,62.5
4,long,2025-04-03 14:55:00,2025-04-03 15:49:00,66.164,66.582,66.582,,take_profit,26.4195,support,0,2,63.20445312499999
9,long,2025-04-16 07:12:00,2025-04-16 08:27:00,60.95,61.565,61.565,,take_profit,38.9723,support,0,2,63.36957499999999
10,long,2025-04-16 08:27:00,2025-04-16 13:49:00,61.565,62.365,62.365,,take_profit,25.4453,support,0,1,31.806575937500003
12,long,2025-04-29 08:59:00,2025-05-09 09:35:00,60.95,60.95,60.95,,take_profit,0.0,support,0,2,63.772185
8,long,2025-04-15 08:31:00,2025-05-12 05:40:00,61.565,61.565,61.565,,take_profit,0.0,support,0,2,63.36957499999999
11,long,2025-04-29 08:21:00,2025-05-12 05:41:00,61.6067,61.6067,61.6067,,take_profit,0.0,support,0,1,31.8860925
13,long,2025-04-29 18:13:00,2025-05-12 05:41:00,60.29,61.6067,61.6067,,take_profit,83.9688,support,0,3,63.772185
3,long,2025-04-03 12:44:00,2025-05-30 20:59:00,66.582,60.79,67.382,,end_of_data,-183.0401,support,0,1,31.602226562499997
5,long,2025-04-08 07:35:00,2025-05-30 20:59:00,60.63,60.79,66.582,,end_of_data,10.1391,support,0,3,63.36957499999999
6,long,2025-04-09 17:25:00,2025-05-30 20:59:00,60.63,60.79,66.582,,end_of_data,10.1391,support,0,3,63.36957499999999
7,long,2025-04-10 08:18:00,2025-05-30 20:59:00,60.63,60.79,66.6025,,end_of_data,10.1391,support,0,3,63.36957499999999
