trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size,level_order
2,short,2025-06-03 12:07:00,2025-06-03 23:54:00,63.27,63.27,63.27,,take_profit,-0.0,resistance,0,2
4,short,2025-06-04 07:22:00,2025-06-04 12:25:00,63.3333,63.3333,63.3333,,take_profit,-0.0,resistance,0,2
1,short,2025-06-03 07:01:00,2025-06-04 15:17:00,62.785,62.785,62.785,,take_profit,-0.0,resistance,0,1
3,short,2025-06-03 14:45:00,2025-06-04 15:17:00,63.725,62.785,62.785,,take_profit,0.94,resistance,0,3
5,short,2025-06-04 10:04:00,2025-06-04 15:17:00,63.725,62.785,62.785,,take_profit,0.94,resistance,0,3
7,short,2025-06-05 12:46:00,2025-06-05 16:46:00,63.3333,63.3333,63.3333,,take_profit,-0.0,resistance,0,2
6,short,2025-06-04 15:17:00,2025-07-31 23:59:00,62.785,69.42,61.985,,end_of_data,-6.635,resistance,0,1
8,short,2025-06-05 13:00:00,2025-07-31 23:59:00,63.725,69.42,62.785,,end_of_data,-5.695,resistance,0,3
9,short,2025-06-18 13:32:00,2025-07-31 23:59:00,74.185,69.42,62.1533,,end_of_data,4.765,resistance,0,3
10,short,2025-06-19 07:00:00,2025-07-31 23:59:00,74.185,69.42,62.1533,,end_of_data,4.765,resistance,0,3
11,short,2025-06-26 14:15:00,2025-07-31 23:59:00,65.78,69.42,63.31,,end_of_data,-3.64,resistance,0,2
