trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size,level_order,position_size
2,long,2025-08-05 12:15:00,2025-08-06 08:31:00,65.2267,66.075,66.075,,take_profit,53.0188,support,0,2,62.5
4,long,2025-08-06 15:54:00,2025-08-06 16:44:00,65.27,65.27,65.27,,take_profit,0.0,support,0,2,62.83136749999999
1,long,2025-08-05 07:05:00,2025-08-13 07:32:00,66.075,63.01,66.075,,end_of_data,-95.7813,support,0,1,31.25
3,long,2025-08-06 08:29:00,2025-08-13 07:32:00,66.0567,63.01,66.0567,,end_of_data,-95.2094,support,0,1,31.25
5,long,2025-08-06 15:56:00,2025-08-13 07:32:00,64.88,63.01,66.0567,,end_of_data,-117.4947,support,0,3,62.83136749999999
6,long,2025-08-07 07:00:00,2025-08-13 07:32:00,64.88,63.01,66.0567,,end_of_data,-117.4947,support,0,3,62.83136749999999
7,long,2025-08-12 11:26:00,2025-08-13 07:32:00,63.7167,63.01,63.7167,,end_of_data,-44.4029,support,0,2,62.83136749999999
8,long,2025-08-12 16:36:00,2025-08-13 07:32:00,63.12,63.01,64.88,,end_of_data,-6.9115,support,0,3,62.83136749999999
9,long,2025-08-13 07:20:00,2025-08-13 07:32:00,63.045,63.01,64.88,,end_of_data,-2.1991,support,0,3,62.83136749999999
