trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size,level_order,position_size
2,long,2025-05-06 09:05:00,2025-05-06 14:01:00,58.72,59.4233,59.4233,,take_profit,43.9562,support,0,2,62.5
3,long,2025-05-06 13:22:00,2025-05-07 08:01:00,59.4233,60.2233,60.2233,,take_profit,25.0,support,0,1,31.25
5,long,2025-05-07 13:35:00,2025-05-08 13:41:00,58.72,59.36,59.36,,take_profit,40.2758,support,0,2,62.93097625
6,long,2025-05-08 08:06:00,2025-05-08 13:56:00,58.72,59.52,59.52,,take_profit,25.1724,support,0,1,31.465488125
4,long,2025-05-07 10:41:00,2025-05-08 20:27:00,59.36,60.16,60.16,,take_profit,25.1724,support,0,1,31.465488125
1,long,2025-05-01 18:20:00,2025-05-09 09:35:00,59.4233,60.95,60.95,,take_profit,95.4188,support,0,3,62.5
8,short,2025-05-13 12:42:00,2025-05-14 10:09:00,62.8133,62.8133,62.8133,,take_profit,-0.0,resistance,0,2,64.0937225
7,short,2025-05-13 08:50:00,2025-05-14 22:50:00,62.355,62.355,62.355,,take_profit,-0.0,resistance,0,1,32.04686125
9,short,2025-05-13 14:30:00,2025-05-14 22:50:00,63.42,62.355,62.355,,take_profit,68.2598,resistance,0,3,64.0937225
10,short,2025-05-14 07:00:00,2025-05-14 22:50:00,63.42,62.2867,62.2867,,take_profit,72.6374,resistance,0,3,64.0937225
11,short,2025-05-14 09:48:00,2025-05-14 22:50:00,62.8275,62.2867,62.2867,,take_profit,34.6619,resistance,0,2,64.0937225
13,short,2025-05-21 07:19:00,2025-05-21 14:12:00,62.7925,62.1875,62.1875,,take_profit,39.4405,resistance,0,2,65.190966875
12,short,2025-05-20 07:01:00,2025-05-21 16:08:00,62.13,61.33,61.33,,take_profit,26.0764,resistance,0,1,32.5954834375
14,short,2025-05-21 14:11:00,2025-05-21 16:08:00,62.1875,61.3875,61.3875,,take_profit,26.0764,resistance,0,1,32.5954834375
16,short,2025-05-29 07:06:00,2025-05-29 10:44:00,63.0,62.158,62.158,,take_profit,55.3728,resistance,0,2,65.763425
15,short,2025-05-28 15:37:00,2025-05-29 13:26:00,62.156,61.356,61.356,,take_profit,26.3054,resistance,0,1,32.8817125
17,short,2025-05-29 10:42:00,2025-05-29 13:26:00,62.158,61.358,61.358,,take_profit,26.3054,resistance,0,1,32.8817125
