trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size,level_order
7,long,2025-03-19 08:59:00,2025-03-19 10:23:00,66.1733,66.535,66.535,,take_profit,0.3617,support,0,2
6,long,2025-03-19 07:13:00,2025-03-19 16:47:00,66.535,67.335,67.335,,take_profit,0.8,support,0,1
5,long,2025-03-18 15:48:00,2025-03-20 15:04:00,67.2,68.0,68.0,,take_profit,0.8,support,0,1
3,long,2025-03-12 16:10:00,2025-03-24 10:01:00,67.86,68.66,68.66,,take_profit,0.8,support,0,1
4,long,2025-03-13 07:51:00,2025-03-24 10:01:00,67.86,68.66,68.66,,take_profit,0.8,support,0,1
2,long,2025-03-11 09:00:00,2025-03-24 16:04:00,66.435,69.2867,69.2867,,take_profit,2.8517,support,0,3
1,long,2025-03-05 08:02:00,2025-03-26 15:05:00,67.86,70.16,70.16,,take_profit,2.3,support,0,3
8,short,2025-03-25 15:24:00,2025-04-03 11:32:00,68.9625,67.735,67.735,,take_profit,1.2275,resistance,0,3
