take_profit,stop_loss,ratio,min_gap,total_pnl,max_drawdown,sharpe,total_trades
0.8,0.8,1.0,0.5,18.275000000001455,4.799999999999272,2.6342614789316037,82
0.8,0.6,1.3333333333333335,0.5,10.875,3.600000000000364,1.6437736392479403,90
0.4,0.6,0.6666666666666667,0.1,9.400000000001455,3.600000000000364,1.5076108780067474,171
0.4,0.8,0.5,0.1,9.199999999998909,4.0,1.3332740622196375,161
0.4,0.6,0.6666666666666667,0.5,8.0,2.600000000000364,1.617895828557995,110
0.6,0.6,1.0,0.5,7.960000000000946,4.799999999999272,1.31113606307774,104
0.6,0.8,0.7499999999999999,0.5,7.360000000002401,6.600000000000364,1.1024488432755932,97
0.8,0.6,1.3333333333333335,0.3,6.875,7.0,0.9280679089677413,113
0.8,0.6,1.3333333333333335,0.1,6.552499999999782,6.0,0.8153074281524727,133
0.8,0.8,1.0,0.3,6.274999999999636,8.0,0.8013965498270796,97
0.8,0.4,2.0,0.1,5.875,5.600000000000364,0.837680333843777,148
0.4,0.8,0.5,0.5,5.600000000002183,4.399999999999636,0.9898586851038316,107
0.8,0.8,1.0,0.1,5.352499999999054,7.200000000000728,0.6502963999325921,107
0.6,0.8,0.7499999999999999,0.1,3.819999999999709,5.799999999999272,0.4945803681442018,127
0.4,0.6,0.6666666666666667,0.3,3.7999999999992724,4.600000000000364,0.6570195957650259,142
0.4,0.4,1.0,0.1,3.1999999999989086,3.600000000000364,0.591957444936687,182
0.6,0.6,1.0,0.1,3.1599999999998545,6.600000000000364,0.43020891977275016,150
0.4,0.8,0.5,0.3,2.8000000000010914,5.600000000000364,0.43365850792153926,133
0.2,0.4,0.5,0.1,2.0,3.0,0.5147427048309097,193
0.2,0.2,1.0,0.1,1.6000000000003638,2.399999999999636,0.5704592262500858,196
0.2,0.2,1.0,0.5,0.6000000000003638,1.7999999999992724,0.2861677101936386,109
0.4,0.4,1.0,0.5,0.3999999999996362,4.0,0.09535797438300636,109
0.4,0.2,2.0,0.1,0.20000000000254659,2.599999999998545,0.051779522025993924,185
0.6,0.6,1.0,0.3,0.15999999999985448,8.399999999999636,0.023474304793934284,129
0.4,0.2,2.0,0.5,-0.1999999999989086,2.599999999998545,-0.06758207873178415,109
0.2,0.2,1.0,0.3,-0.4000000000014552,2.8000000000010914,-0.16277896958796456,150
0.2,0.4,0.5,0.5,-1.0,3.7999999999992724,-0.3334936090167788,109
0.6,0.8,0.7499999999999999,0.3,-1.4399999999986903,8.600000000000364,-0.19326069629690873,115
0.4,0.4,1.0,0.3,-1.6000000000003638,5.200000000000728,-0.32782480478608184,148
0.8,0.4,2.0,0.3,-1.8400000000019645,4.399999999999636,-0.2927443298156557,126
0.4,0.2,2.0,0.3,-2.0,4.399999999999636,-0.590034683258177,148
0.2,0.4,0.5,0.3,-2.399999999999636,5.200000000000728,-0.6781660773301416,150
0.6,0.4,1.4999999999999998,0.1,-3.640000000001237,6.799999999999272,-0.5881958109900763,163
0.6,0.4,1.4999999999999998,0.5,-4.8400000000001455,6.799999999999272,-0.9831996247248932,106
0.8,0.4,2.0,0.5,-5.440000000000509,6.400000000001455,-1.0077329280594824,99
0.6,0.4,1.4999999999999998,0.3,-5.8400000000001455,7.600000000000364,-1.045448465483277,136
