row,level,strength,time,level_type
45,59.87,1.5,2025-05-02 03:00:00,resistance
59,58.67,1.0,2025-05-02 10:00:00,support
96,55.9,1.0,2025-05-05 05:00:00,support
126,56.98,1.0,2025-05-05 20:00:00,support
154,58.85,1.0,2025-05-06 10:30:00,resistance
163,59.71,1.5,2025-05-06 15:00:00,resistance
197,60.26,1.5,2025-05-07 08:30:00,resistance
202,59.29,1.0,2025-05-07 11:00:00,support
213,58.23,1.0,2025-05-07 16:30:00,support
224,57.74,1.0,2025-05-07 22:30:00,support
236,58.66,1.0,2025-05-08 04:30:00,resistance
269,60.29,1.5,2025-05-08 21:00:00,resistance
325,61.02,1.0,2025-05-12 02:00:00,support
336,63.41,1.0,2025-05-12 07:30:00,resistance
354,62.08,1.0,2025-05-12 16:30:00,support
383,62.15,1.0,2025-05-13 07:30:00,resistance
394,62.87,1.0,2025-05-13 13:00:00,resistance
421,63.19,1.0,2025-05-14 03:00:00,support
445,63.57,1.0,2025-05-14 15:00:00,resistance
461,61.86,1.0,2025-05-14 23:30:00,support
523,60.78,1.0,2025-05-16 07:00:00,support
542,62.18,1.0,2025-05-16 16:30:00,resistance
560,61.72,1.0,2025-05-19 02:00:00,support
570,61.34,1.0,2025-05-19 07:00:00,support
644,62.36,1.0,2025-05-20 20:30:00,resistance
669,63.13,1.0,2025-05-21 09:30:00,resistance
674,62.44,1.0,2025-05-21 12:00:00,support
697,61.4,1.0,2025-05-22 00:00:00,resistance
709,61.75,1.0,2025-05-22 06:00:00,resistance
712,60.37,1.5,2025-05-22 07:30:00,support
747,60.96,1.0,2025-05-23 01:30:00,resistance
760,60.55,1.0,2025-05-23 08:00:00,support
767,61.4,1.0,2025-05-23 11:30:00,resistance
809,62.03,1.0,2025-05-26 09:00:00,resistance
813,61.3,1.0,2025-05-26 11:00:00,support
829,61.6,1.0,2025-05-26 22:00:00,resistance
839,61.21,1.0,2025-05-27 03:00:00,support
865,60.26,1.5,2025-05-27 16:00:00,support
882,61.43,1.0,2025-05-28 01:00:00,resistance
907,62.07,1.0,2025-05-28 13:30:00,resistance
920,61.49,1.0,2025-05-28 20:00:00,support
956,60.55,1.0,2025-05-29 14:30:00,support
998,61.72,1.0,2025-05-30 12:00:00,resistance
1011,60.97,1.0,2025-05-30 18:30:00,resistance
10,62.7,1.0,2025-06-02 03:00:00,resistance
31,63.88,1.0,2025-06-02 13:30:00,resistance
65,62.66,1.0,2025-06-03 07:00:00,support
72,62.4,1.0,2025-06-03 10:30:00,support
77,63.46,1.0,2025-06-03 13:00:00,resistance
105,63.14,1.0,2025-06-04 03:30:00,support
154,62.5,1.0,2025-06-05 04:30:00,support
160,63.16,1.0,2025-06-05 07:30:00,resistance
180,63.2,1.0,2025-06-05 17:30:00,support
199,63.1,1.0,2025-06-06 03:30:00,support
229,64.35,1.0,2025-06-06 18:30:00,support
236,64.86,1.25,2025-06-08 22:30:00,resistance
255,64.2,1.0,2025-06-09 08:00:00,support
291,65.66,1.0,2025-06-10 02:30:00,resistance
324,64.57,1.25,2025-06-10 19:00:00,support
390,67.98,1.0,2025-06-12 05:00:00,resistance
404,66.72,1.0,2025-06-12 12:00:00,support
423,68.91,1.0,2025-06-12 22:00:00,resistance
429,74.35,1.0,2025-06-13 01:00:00,resistance
442,70.84,1.0,2025-06-13 07:30:00,support
466,74.02,1.0,2025-06-13 19:30:00,resistance
493,72.24,1.0,2025-06-16 09:30:00,support
521,72.12,1.0,2025-06-17 00:00:00,resistance
533,71.01,1.0,2025-06-17 06:00:00,resistance
640,74.6,1.25,2025-06-19 12:30:00,resistance
765,64.67,1.25,2025-06-24 07:00:00,support
773,66.83,1.0,2025-06-24 11:00:00,resistance
814,65.65,1.0,2025-06-25 08:00:00,resistance
832,66.03,1.0,2025-06-25 17:00:00,resistance
851,65.38,1.25,2025-06-26 03:00:00,resistance
876,66.42,1.0,2025-06-26 15:30:00,resistance
898,65.72,1.0,2025-06-27 03:00:00,resistance
957,65.82,1.0,2025-06-30 09:00:00,resistance
971,64.63,1.25,2025-06-30 16:00:00,support
