row,level,strength,time,level_type
41,73.05,1.0,2025-01-02 19:30:00,support
51,73.35,1.0,2025-01-03 01:00:00,resistance
55,73.48,1.0,2025-01-03 03:00:00,resistance
64,73.08,1.0,2025-01-03 07:30:00,support
69,72.74,1.0,2025-01-03 10:00:00,support
86,74.35,1.0,2025-01-03 18:30:00,resistance
96,74.28,1.0,2025-01-06 00:00:00,resistance
107,73.6,1.0,2025-01-06 05:30:00,support
122,74.66,1.25,2025-01-06 13:00:00,resistance
134,73.2,1.0,2025-01-06 19:00:00,support
151,73.5,1.0,2025-01-07 04:00:00,resistance
161,73.11,1.0,2025-01-07 09:00:00,support
168,74.2,1.0,2025-01-07 12:30:00,resistance
177,73.81,1.0,2025-01-07 17:00:00,support
189,74.78,1.25,2025-01-07 23:30:00,resistance
213,74.26,1.0,2025-01-08 11:30:00,support
241,72.84,1.0,2025-01-09 02:00:00,support
245,73.28,1.0,2025-01-09 04:00:00,resistance
249,73.13,1.0,2025-01-09 06:00:00,support
263,73.75,1.0,2025-01-09 13:00:00,resistance
271,74.26,1.0,2025-01-09 17:00:00,resistance
314,77.86,1.0,2025-01-10 15:00:00,resistance
347,77.67,1.0,2025-01-13 08:00:00,support
384,78.37,1.0,2025-01-14 03:00:00,support
430,77.38,1.0,2025-01-15 02:30:00,support
475,80.59,1.0,2025-01-16 01:30:00,resistance
484,80.05,1.5,2025-01-16 06:00:00,support
497,78.98,1.0,2025-01-16 12:30:00,support
501,79.96,1.5,2025-01-16 14:30:00,resistance
506,77.87,1.0,2025-01-16 17:00:00,support
530,78.52,1.0,2025-01-17 05:30:00,resistance
546,77.23,1.0,2025-01-17 13:30:00,support
565,77.28,1.0,2025-01-19 23:30:00,support
572,77.25,1.0,2025-01-20 03:00:00,support
593,77.61,1.0,2025-01-20 13:30:00,resistance
607,76.25,1.0,2025-01-20 23:30:00,support
632,75.2,1.25,2025-01-21 12:00:00,support
643,76.32,1.0,2025-01-21 17:30:00,resistance
649,76.09,1.0,2025-01-21 20:30:00,resistance
671,75.28,1.25,2025-01-22 08:00:00,support
688,75.32,1.25,2025-01-22 16:30:00,support
712,75.16,1.25,2025-01-23 05:00:00,support
745,74.14,1.0,2025-01-23 21:30:00,support
767,74.43,1.0,2025-01-24 09:00:00,support
804,74.25,1.0,2025-01-27 04:00:00,resistance
809,73.94,1.0,2025-01-27 06:30:00,support
818,75.15,1.25,2025-01-27 11:00:00,resistance
827,74.57,1.25,2025-01-27 15:30:00,resistance
831,72.38,1.0,2025-01-27 17:30:00,support
847,73.36,1.0,2025-01-28 02:00:00,resistance
897,73.56,1.0,2025-01-29 03:30:00,support
943,72.6,1.0,2025-01-30 03:00:00,support
951,72.74,1.0,2025-01-30 07:00:00,resistance
957,72.02,1.0,2025-01-30 10:00:00,support
965,72.29,1.0,2025-01-30 14:00:00,support
969,73.55,1.0,2025-01-30 16:00:00,resistance
1012,73.12,1.0,2025-01-31 14:00:00,resistance
46,72.23,1.0,2025-02-03 22:00:00,support
130,70.98,1.0,2025-02-05 17:00:00,support
142,71.04,1.0,2025-02-05 23:30:00,support
157,71.39,1.0,2025-02-06 07:00:00,resistance
165,71.79,1.0,2025-02-06 11:00:00,resistance
198,70.99,1.0,2025-02-07 04:00:00,resistance
224,70.6,1.0,2025-02-07 17:00:00,support
272,72.54,1.0,2025-02-10 17:30:00,resistance
276,72.13,1.0,2025-02-10 19:30:00,support
306,73.34,1.0,2025-02-11 11:00:00,resistance
312,73.68,1.0,2025-02-11 14:00:00,resistance
315,72.84,1.0,2025-02-11 15:30:00,support
343,72.96,1.0,2025-02-12 06:00:00,support
346,73.2,1.0,2025-02-12 07:30:00,resistance
375,71.17,1.0,2025-02-12 22:00:00,support
391,70.83,1.0,2025-02-13 06:30:00,resistance
397,71.06,1.0,2025-02-13 09:30:00,resistance
400,70.22,1.5,2025-02-13 11:00:00,support
562,71.69,1.0,2025-02-19 00:30:00,support
565,72.07,1.0,2025-02-19 02:00:00,resistance
570,71.81,1.0,2025-02-19 04:30:00,support
579,72.46,1.0,2025-02-19 09:00:00,resistance
591,72.91,1.0,2025-02-19 15:00:00,resistance
624,72.34,1.0,2025-02-20 08:00:00,resistance
643,73.14,1.0,2025-02-20 17:30:00,resistance
660,72.35,1.0,2025-02-21 02:30:00,support
673,71.87,1.0,2025-02-21 09:00:00,support
706,70.1,1.5,2025-02-24 02:00:00,support
712,70.14,1.5,2025-02-24 05:00:00,support
729,70.18,1.5,2025-02-24 13:30:00,support
751,70.71,1.0,2025-02-25 01:00:00,support
783,68.68,1.0,2025-02-25 17:00:00,support
807,69.19,1.0,2025-02-26 05:30:00,resistance
849,68.9,1.0,2025-02-27 03:00:00,resistance
856,68.84,1.0,2025-02-27 06:30:00,resistance
908,69.45,1.0,2025-02-28 09:00:00,support
928,70.29,1.5,2025-02-28 19:00:00,resistance
