date,level_type,level,count
2024-08-15,resistance,78.94,2
2024-08-16,resistance,78.94,2
2024-08-17,resistance,78.94,2
2024-08-18,resistance,78.94,2
2024-08-19,resistance,78.94,2
2024-08-20,resistance,75.87,2
2024-08-20,resistance,78.94,2
2024-08-21,resistance,75.87,2
2024-08-21,resistance,78.94,2
2024-08-22,support,73.00999999999999,2
2024-08-22,resistance,75.87,2
2024-08-22,resistance,78.94,2
2024-08-23,support,71.52,2
2024-08-23,support,72.94333333333333,3
2024-08-23,resistance,75.87,2
2024-08-23,resistance,78.94,2
2024-08-24,support,71.52,2
2024-08-24,support,72.91499999999999,4
2024-08-24,resistance,73.33,2
2024-08-24,resistance,75.87,2
2024-08-24,resistance,78.94,2
2024-08-25,support,71.52,2
2024-08-25,support,72.91499999999999,4
2024-08-25,resistance,73.33,2
2024-08-25,resistance,75.87,2
2024-08-25,resistance,78.94,2
2024-08-26,support,71.52,2
2024-08-26,support,72.91499999999999,4
2024-08-26,resistance,73.33,2
2024-08-26,resistance,75.87,2
2024-08-26,resistance,78.94,2
2024-08-27,support,71.52,2
2024-08-27,support,72.91499999999999,4
2024-08-27,resistance,73.33,2
2024-08-27,resistance,75.87,2
2024-08-27,resistance,77.57499999999999,2
2024-08-27,resistance,78.94,2
2024-08-28,support,71.52,2
2024-08-28,support,72.91499999999999,4
2024-08-28,resistance,73.33,2
2024-08-28,resistance,75.87,2
2024-08-28,resistance,77.0,2
2024-08-28,resistance,77.57499999999999,2
2024-08-28,resistance,78.94,2
2024-08-29,support,71.52,2
2024-08-29,support,72.91499999999999,4
2024-08-29,support,75.25999999999999,2
2024-08-29,resistance,73.33,2
2024-08-29,resistance,75.89666666666666,3
2024-08-29,resistance,77.0,2
2024-08-29,resistance,77.57499999999999,2
2024-08-29,resistance,78.94,2
2024-08-30,support,71.52,2
2024-08-30,support,72.91499999999999,4
2024-08-30,support,75.25999999999999,2
2024-08-30,resistance,73.33,2
2024-08-30,resistance,74.675,2
2024-08-30,resistance,75.89666666666666,3
2024-08-30,resistance,77.0,2
2024-08-30,resistance,77.57499999999999,2
2024-08-30,resistance,78.94,2
2024-08-31,support,71.52,2
2024-08-31,support,72.91499999999999,4
2024-08-31,support,75.25999999999999,2
2024-08-31,resistance,73.33,2
2024-08-31,resistance,74.675,2
2024-08-31,resistance,75.89666666666666,3
2024-08-31,resistance,76.75,2
2024-08-31,resistance,77.57499999999999,2
2024-08-31,resistance,78.94,2
