timestamp,equity
2025-02-01 00:00:00,10000.0
2025-02-04 15:22:00,10057.2937
2025-02-04 15:22:00,10083.9624
2025-02-11 06:30:00,10191.7347
2025-02-11 09:17:00,10191.7347
2025-02-11 09:17:00,10249.5095
2025-02-12 10:01:00,10275.1333
2025-02-13 14:58:00,10275.1333
2025-02-19 07:04:00,10275.1333
2025-02-19 07:04:00,10366.3251
2025-02-19 07:04:00,10439.9657
2025-02-19 14:16:00,10439.9657
2025-02-20 17:22:00,10465.6535
2025-03-31 14:31:00,10465.6535
2025-03-31 15:07:00,10465.6535
2025-03-31 15:07:00,10527.4663
2025-03-31 15:07:00,10589.2791
