trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size
1,short,2025-05-06 08:23:00,2025-05-06 09:05:00,58.165,58.72,56.575,58.72,stop_loss,-0.555,resistance,2
2,long,2025-05-06 09:21:00,2025-05-06 14:01:00,58.72,59.4233,59.4233,56.575,take_profit,0.7033,support,3
3,long,2025-05-07 10:41:00,2025-05-07 13:34:00,59.36,58.72,61.6067,58.72,stop_loss,-0.64,support,2
4,long,2025-05-07 13:35:00,2025-05-07 17:53:00,58.72,58.165,61.6067,58.165,stop_loss,-0.555,support,3
5,short,2025-05-07 17:55:00,2025-05-12 05:40:00,58.165,61.6067,56.575,61.6067,stop_loss,-3.4417,resistance,2
6,short,2025-05-13 12:42:00,2025-05-13 14:30:00,62.8133,63.42,61.615,63.42,stop_loss,-0.6067,resistance,3
7,long,2025-05-15 07:09:00,2025-05-15 13:00:00,61.055,61.925,61.925,60.275,take_profit,0.87,support,2
8,long,2025-05-20 07:22:00,2025-05-20 13:40:00,62.0033,61.5833,62.7467,61.5833,stop_loss,-0.42,support,3
9,long,2025-05-20 15:33:00,2025-05-20 22:05:00,61.5833,62.7467,62.7467,60.9,take_profit,1.1634,support,3
10,short,2025-05-21 07:19:00,2025-05-21 14:12:00,62.7925,62.1875,62.1875,63.432,take_profit,0.605,resistance,4
11,long,2025-05-21 14:37:00,2025-05-21 16:08:00,62.0033,61.5833,63.432,61.5833,stop_loss,-0.42,support,3
12,long,2025-05-21 16:09:00,2025-05-22 06:39:00,61.5833,60.9,63.432,60.9,stop_loss,-0.6833,support,3
13,long,2025-05-22 07:51:00,2025-05-22 11:00:00,60.9,60.275,61.5833,60.275,stop_loss,-0.625,support,2
14,short,2025-05-22 11:01:00,2025-05-23 14:11:00,60.275,61.5833,59.6933,61.5833,stop_loss,-1.3083,resistance,2
15,long,2025-05-27 11:48:00,2025-05-27 14:51:00,61.22,60.665,62.156,60.665,stop_loss,-0.555,support,3
16,short,2025-05-29 07:06:00,2025-05-29 10:37:00,63.0,62.26,62.26,63.49,take_profit,0.74,resistance,2
17,long,2025-05-29 13:38:00,2025-05-29 14:09:00,61.2175,60.665,63.49,60.665,stop_loss,-0.5525,support,4
