trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size
1,short,2024-12-03 12:13:00,2024-12-03 12:41:00,68.9875,69.32,68.1233,69.32,stop_loss,-0.3325,resistance,4
2,short,2024-12-03 12:54:00,2024-12-03 16:26:00,69.32,69.8733,68.1233,69.8733,stop_loss,-0.5533,resistance,3
3,short,2024-12-04 17:08:00,2024-12-04 17:59:00,69.2883,68.78,68.78,70.855,take_profit,0.5083,resistance,6
4,short,2024-12-05 08:27:00,2024-12-05 11:55:00,68.78,68.1233,68.1233,69.2883,take_profit,0.6567,resistance,3
5,long,2024-12-05 11:56:00,2024-12-06 10:50:00,68.1233,67.76,69.2883,67.76,stop_loss,-0.3633,support,9
6,short,2024-12-10 15:43:00,2024-12-11 09:19:00,68.78,69.2883,67.7075,69.2883,stop_loss,-0.5083,resistance,3
7,short,2024-12-11 09:30:00,2024-12-11 16:43:00,69.2883,69.81,68.78,69.81,stop_loss,-0.5217,resistance,6
8,short,2024-12-17 07:05:00,2024-12-17 08:29:00,70.41,69.925,69.925,70.9,take_profit,0.485,resistance,6
9,short,2024-12-17 12:32:00,2024-12-17 15:26:00,69.36,69.035,69.035,69.925,take_profit,0.325,resistance,5
10,short,2024-12-18 07:22:00,2024-12-18 12:51:00,69.922,70.4286,69.36,70.4286,stop_loss,-0.5066,resistance,5
11,short,2024-12-19 08:09:00,2024-12-19 09:07:00,69.36,69.922,69.035,69.922,stop_loss,-0.562,resistance,5
12,short,2024-12-19 09:08:00,2024-12-19 13:44:00,69.922,70.4286,69.035,70.4286,stop_loss,-0.5066,resistance,5
13,short,2024-12-24 10:57:00,2024-12-24 15:22:00,69.8825,70.3667,69.3067,70.3667,stop_loss,-0.4842,resistance,4
14,short,2024-12-24 15:26:00,2024-12-30 12:07:00,70.3667,70.9,69.3067,70.9,stop_loss,-0.5333,resistance,6
