trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size
1,short,2024-09-03 07:33:00,2024-09-03 08:12:00,73.94,73.33,73.33,74.465,take_profit,0.61,resistance,2
2,long,2024-09-03 09:21:00,2024-09-03 13:07:00,72.922,71.52,74.465,71.52,stop_loss,-1.402,support,5
3,short,2024-09-05 14:00:00,2024-09-05 16:12:00,70.27,69.005,69.005,71.52,take_profit,1.265,resistance,2
4,long,2024-09-12 14:56:00,2024-09-13 14:23:00,69.005,70.27,70.27,65.77,take_profit,1.265,support,2
5,short,2024-09-17 07:10:00,2024-09-17 09:31:00,70.565,70.015,70.015,71.52,take_profit,0.55,resistance,2
6,short,2024-09-17 10:55:00,2024-09-17 16:04:00,70.015,71.52,69.215,71.52,stop_loss,-1.505,resistance,2
7,long,2024-09-17 16:05:00,2024-09-18 08:28:00,71.52,69.215,72.922,69.215,stop_loss,-2.305,support,2
8,long,2024-09-18 09:59:00,2024-09-18 12:48:00,68.6633,69.655,69.655,65.77,take_profit,0.9917,support,3
9,short,2024-09-18 12:49:00,2024-09-18 14:30:00,69.655,70.015,65.77,70.015,stop_loss,-0.36,resistance,2
10,short,2024-09-18 14:34:00,2024-09-19 07:26:00,70.015,70.6267,65.77,70.6267,stop_loss,-0.6117,resistance,2
11,short,2024-09-19 07:33:00,2024-09-19 16:09:00,70.6267,71.52,70.0967,71.52,stop_loss,-0.8933,resistance,3
12,long,2024-09-19 16:18:00,2024-09-23 15:45:00,71.52,70.0967,72.922,70.0967,stop_loss,-1.4233,support,2
13,short,2024-09-25 12:12:00,2024-09-25 16:19:00,70.0967,69.655,69.655,71.75,take_profit,0.4417,resistance,3
14,short,2024-09-25 16:32:00,2024-09-26 05:02:00,69.655,69.1567,69.1567,71.75,take_profit,0.4983,resistance,2
15,long,2024-09-26 09:43:00,2024-09-30 05:53:00,68.6425,69.1267,69.1267,65.77,take_profit,0.4842,support,4
