trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size
1,short,2025-02-11 10:00:00,2025-02-12 14:03:00,73.24,72.21,72.21,73.75,take_profit,1.03,resistance,2
2,short,2025-02-18 13:18:00,2025-02-19 07:00:00,70.96,72.21,70.41,72.21,stop_loss,-1.25,resistance,3
3,short,2025-02-20 17:29:00,2025-02-21 10:42:00,73.0767,71.84,71.84,73.4825,take_profit,1.2367,resistance,3
4,long,2025-02-25 08:59:00,2025-02-25 12:48:00,70.79,70.16,71.8475,70.16,stop_loss,-0.63,support,2
